"Label" "CalYrBP" "LonDD" "LatDD" "Abies" "Abies_perc"
"SIERRA" 3500 -2.7 37.233333 0 0
"SIERRA" 4000 -2.7 37.233333 0 0
"SIERRA" 4500 -2.7 37.233333 0 0
"SIERRA" 5000 -2.7 37.233333 0 0
"SIERRA" 5500 -2.7 37.233333 0 0
"SIERRA" 6000 -2.7 37.233333 0 0
"SIERRA" 6500 -2.7 37.233333 0 0
"SIERRA" 7000 -2.7 37.233333 0 0
"SIERRA" 7500 -2.7 37.233333 0 0
"SIERRA" 8000 -2.7 37.233333 0 0
"SIERRA" 8500 -2.7 37.233333 0 0
"PERGU" 500 14.3 37.5 0 0
"PERGU" 1000 14.3 37.5 0 0
"PERGU" 1500 14.3 37.5 0 0
"PERGU" 2000 14.3 37.5 0 0
"PERGU" 2500 14.3 37.5 0 0
"PERGU" 3000 14.3 37.5 0 0
"PERGU" 3500 14.3 37.5 0 0
"PERGU" 4000 14.3 37.5 0 0
"PERGU" 4500 14.3 37.5 0 0
"PERGU" 5000 14.3 37.5 0 0
"PERGU" 5500 14.3 37.5 0 0
"PERGU" 6000 14.3 37.5 0 0
"PERGU" 6500 14.3 37.5 0 0
"PERGU" 7000 14.3 37.5 0 0
"PERGU" 7500 14.3 37.5 0 0
"PERGU" 8000 14.3 37.5 0 0
"PERGU" 8500 14.3 37.5 0 0
"PERGU" 9000 14.3 37.5 0 0
"PERGU" 9500 14.3 37.5 0 0
"PERGU" 10000 14.3 37.5 0 0
"PERGU" 10500 14.3 37.5 0 0
"PERGU" 11000 14.3 37.5 0 0
"PERGU" 11500 14.3 37.5 0 0
"PERGU" 12000 14.3 37.5 0 0
"PERGU" 12500 14.3 37.5 0 0
"PERGU" 13000 14.3 37.5 0 0
"LERNA" 500 22.8 37.6 16 0.323591869754272
"LERNA" 1000 22.8 37.6 13 0.476495922294511
"LERNA" 1500 22.8 37.6 19 0.37109375
"LERNA" 2000 22.8 37.6 24 0.814594823928723
"LERNA" 2500 22.8 37.6 39 1.10014104372355
"LERNA" 3000 22.8 37.6 44 0.546363269487474
"LERNA" 3500 22.8 37.6 22 0.527989440211196
"LERNA" 4000 22.8 37.6 14 0.570497147514263
"LERNA" 4500 22.8 37.6 3 0.146771037181996
"LERNA" 5000 22.8 37.6 20 0.811523635625888
"LERNA" 5500 22.8 37.6 17 0.397010742643624
"LERNA" 6000 22.8 37.6 21 0.539360472582509
"LERNA" 6500 22.8 37.6 6 0.219619326500732
"LERNA" 7000 22.8 37.6 11 0.186717589645661
"LERNA" 7500 22.8 37.6 28 0.339847068819031
"LERNA" 8000 22.8 37.6 7 0.0709219858156028
"GORGO" 500 12.65 37.61666667 0 0
"GORGO" 1000 12.65 37.61666667 0 0
"GORGO" 1500 12.65 37.61666667 0 0
"GORGO" 2000 12.65 37.61666667 0 0
"GORGO" 2500 12.65 37.61666667 0 0
"GORGO" 3000 12.65 37.61666667 0 0
"GORGO" 3500 12.65 37.61666667 0 0
"GORGO" 4000 12.65 37.61666667 0 0
"GORGO" 4500 12.65 37.61666667 0 0
"GORGO" 5000 12.65 37.61666667 0 0
"GORGO" 5500 12.65 37.61666667 0 0
"GORGO" 6000 12.65 37.61666667 0 0
"GORGO" 6500 12.65 37.61666667 0 0
"GORGO" 7000 12.65 37.61666667 0 0
"GORGO" 7500 12.65 37.61666667 0 0
"GORGO" 8000 12.65 37.61666667 0 0
"GORGO" 8500 12.65 37.61666667 0 0
"GORGO" 9000 12.65 37.61666667 0 0
"GORGO" 9500 12.65 37.61666667 0 0
"GORGO" 10000 12.65 37.61666667 0 0
"GORGO" 10500 12.65 37.61666667 0 0
"UQUAT" 500 14.39066667 37.90083333 0 0
"UQUAT" 1000 14.39066667 37.90083333 0 0
"UQUAT" 1500 14.39066667 37.90083333 0 0
"UQUAT" 2000 14.39066667 37.90083333 0 0
"UQUAT" 2500 14.39066667 37.90083333 0 0
"UQUAT" 3000 14.39066667 37.90083333 0 0
"UQUAT" 3500 14.39066667 37.90083333 0 0
"UQUAT" 4000 14.39066667 37.90083333 0 0
"UQUAT" 4500 14.39066667 37.90083333 0 0
"UQUAT" 5000 14.39066667 37.90083333 0 0
"UQUAT" 5500 14.39066667 37.90083333 0 0
