Depth;Sample;Calendar years BP;Pollen sum;Abies;Acer;Achillea/Anthemis-type;Agrostemma githago;Allium-type;Alnus;Amaranthaceae;Anagallis arvensis;Anagallis tenella;Anemone nemorosa-type;Angiospermae undiff. (herbs);Apiaceae undiff.;Armeria;Artemisia;Asphodelus-type;Asteraceae undiff.;Betula;Bistorta officinalis-type;Boraginaceae undiff.;Brassicaceae;Bryophyta undiff.;Bupleurum-type;Buxus;Calligonum-type;Campanulaceae;Carpinus betulus;Caryophyllaceae undiff.;Castanea;Cedrus;Celtis;Centaurea cf. C. cyanus/montana-type;Centaurea scabiosa;Centaurea solstitialis-type;Cichorioideae;Cirsium;Clusiaceae/Hypericaceae cf. Hypericum;Consolida ambigua-type;Cornaceae;Corylus;Cupressaceae-type;Cyperaceae undiff.;Digitalis-type;Dipsacoideae;Echium-type;Ephedra distachya;Ephedra fragilis-type;Epilobium;Ericaceae;Euonymus europaeus;Fabaceae undiff.;Fagus;Filipendula;Fraxinus excelsior-type;Fraxinus ornus;Fraxinus undiff.;Fritillaria-type;Fumana;Galium-type;Geranium;Hedera;Helianthemum;Helleborus foetidus;Helleborus viridis;Hippophaë;Humulus/Cannabis;Ilex;Indeterminable (broken);Indeterminable (concealed);Indeterminable (crumpled);Indeterminable (degraded);Juglans;Larix;Liliaceae;Linum;Lithospermum;Lonicera;Lotus;Malvaceae undiff.;Marrubium-type;Mentha-type;Menyanthes;Olea;Ononis;Ostrya;Oxyria-type;Papaveraceae;Pedicularis;Persicaria amphibia;Persicaria maculosa-type;Persicaria undiff.;Phillyrea;Picea;Pinus subg. Strobus;Pinus undiff.;Pistacia;Plantago;Poaceae (Cerealia-type);Poaceae undiff.;Populus;Potentilla-type;Poterium sanguisorba;Primulaceae undiff.;Prunus spinosa;Pterocarya;Quercus ilex;Quercus undiff.;Ranunculus;Resedaceae;Rhamnaceae;Rosaceae cf. Geum;Rosaceae undiff.;Rumex;Salix;Sambucus;Sanguisorba officinalis;Saxifragaceae;Scilla-type;Scrophulariaceae;Scutellaria-type;Serratula-type;Solidago-type;Sorbus;Spermatophyta undiff. (trees/shrubs);Tamarix;Taxus;Thalictrum;Thymelaeaceae cf. Daphne;Tilia;Trifolium-type;Ulmus;Urtica-type;Valeriana;Veronica-type;Viburnum;Vicia;Viscum;Vitis;cf. Alchemilla;cf. Androsace;cf. Centaurium;cf. Chrysosplenium;cf. Circaea;cf. Daphne;cf. Epilobium;cf. Euphorbia;cf. Frangula/Bruckenthalia;cf. Helianthemum;cf. Larix;cf. Mentha;cf. Mercurialis;cf. Myrica;cf. Onobrychis-type;cf. Platanus;cf. Rutaceae;cf. Sambucus;cf. Sedum
884.1;434407;14647;318;;;;;;;7;;;;18;;;18;;;;;;;;;;;;;;;;;;;;;;;;;1;7;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;1;154;;;;;;;;23;;;;;;4;9;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886.7;434408;14712;336;;1;;;;1;20;;;;29;;;70;;7;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;8;113;1;;;;;;;8;;;;;;4;2;;;;;;;;;;31;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
889.8;434409;14791;315;;;;;;1;21;;;;30;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;25;4;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;1;3;100;;;;;;;;11;;;;;;5;1;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890.5;434410;14809;414;;;2;;;2;27;;;;;8;;82;;;32;;1;2;;;;;1;1;4;;;;1;;2;1;1;;;1;1;43;14;1;;;3;;;;;;1;2;;;;;;4;;;;;;1;;;;;10;;;;;;;;;;;;;;;2;;;;;;;;;;13;;1;1;118;;1;;;;;;13;1;1;;;1;6;3;;;;;;;;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891.82;434411;14844.1;304;;;;;;2;18;;;;20;;;64;;3;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;4;100;;;;;;;;10;;;;;;1;5;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891.83;434412;14844.5;302;;;;;;;22;;;;19;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;32;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;2;92;;;;;;;;7;;;;;;3;5;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
895.8;434413;14950;315;;;;;;2;15;;;;23;;;65;;4;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;7;114;;;;;;;;12;;;;;;1;3;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
898.6;434414;15024;315;;;;;;1;16;;;;17;;;57;;3;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;2;9;103;;;;;;;;8;;;;;;1;3;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
899.7;434415;15055;311;;;;;;1;24;;;;18;;;66;;3;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;6;104;;;;;;;;7;;;;;;1;4;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900.5;434416;15075;417.5;1.5;;;;;;24;;;;;7;;83;;;10;;1;;;;;;;;2;2;;;;;1;2;;;;;;85;6;;;;;;;;;;3;;3;;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;23;;1;;128;;;;;;;;13;;;;;;3;1;4;;;;;;3;2;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
905.5;434417;15185;344;;;;;;;39;;;;14;;;78;;2;;;;;;;;;;;;;;;;;;;;;;;;33;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;4;123;;;;;;;;9;;;;;;4;1;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
906.8;434418;15213;314;;;;;;;18;;;;30;;;64;;3;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;6;100;;;;;;;;10;;;;;;2;3;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
910.5;434419;15296;400;;;3;;;;31;;;;;8;;83;;;5;;1;2;;;;;;;9;;;;;;1;;;;;;;64;10;;;;2;1;;;;;;;1;;;;;7;;;1;;;;;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;11;;2;3;126;;;;;;;;6;1;1;;;1;2;5;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
912.4;434420;15364;309;;;;;;;25;;;;19;;;65;;1;;;;;;;;;;;;;;;;;;;;;;;;67;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;7;92;;;;;;;;5;;;;;;1;2;;;;;;;;;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
915.5;434421;15477;327;;;;;;;25;;;;32;;;73;;2;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;7;85;;;;;;;;3;;;;;;;4;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
915.9;434422;15490;282;;;;;;;37;;;;13;;;63;;2;;;;;;;;;;;;;;;;;;;;;;;;76;10;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;3;1;59;;;;;;;;2;;;;;;4;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
920.5;434423;15655;392.5;;1;;;;2;44;;;;;3;;118;;;11;;;1;;;;;;;2;;;;1;;1;;;;;1;1;22;3;;;;;;;;;;;;;;;;;5;;;5;;;2;;;;;4;;;;;;;;;;;;;;;2;;;;;;;;;;15.5;;2;;132;;;;;;;;3;;;;;;2;5;;;;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
920.8;434424;15669;268;;;;;;;17;;;;19;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;70;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;2;7;70;;;;;;;;2;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
924.8;434425;15849;282;;;;;;;31;;;;19;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;46;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;2;6;74;;;;;;;;2;;;;;;5;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928.7;434426;16028;306;;;;;;;40;;;;21;;;62;;1;;;;;;;;;;;;;;;;;;;;;;;;69;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;12;78;;;;;;;;3;;;;;;;3;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
930.5;434427;16107;358;;;4;;;;30;;;;;4;;95;;;3;;;3;;;;;;1;3;;;;;;;1;;;;;;77;;;;;;;;;;1;;;;;;;;7;;;3;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;21;;1;;89;;;;;;;;2;3;;;;2;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
935.5;434428;16207;292;;;;;;;24;;;;14;;;70;;3;;;;;;;;;;;;;;;;;;;;;;;;61;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;4;5;87;;;;;;;;1;;;;;;2;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
944.6;434429;16387;353;;;;;;;31;;;;24;;;109;;;;;;;;;;;;;;;;;;;;;;;;;;47;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;7;115;;;;;;;;;;;;;;3;1;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
953.6;434430;16566;304;;;;;;;28;;;;20;;;73;;4;;;;;;;;;;;;;;;;;;;;;;;;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;6;5;100;;;;;;;;1;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
962.6;434431;16745;352;;;;;;;24;;;;18;;;100;;7;;;;;;;;;;;;;;;;;;;;;;;;60;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;5;7;106;;;;;;;;1;;;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
969.5;434432;16881;443;;;7;;;;31;;;;;8;;120;;;;1;2;2;;;;;;1;5;;;;1;;;;;;;;;37;4;;;;5;;;;;1;;;;;;;;7;;;2;;;5;;;2;;5;;;;;;;;;;;;;1;;;;;;;;;;;;34;;2;;142;;;;;;;;3;1;;;;;5;1;;;;;;;;1;;;;;6;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
979.5;434433;16924;324;;;;;;1;10;;;;21;;;57;;6;;;;;;;;;;1;;;;;;;;;;;;;;34;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;2;7;120;;;;;;;;3;;;;;;1;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
989.5;434434;17387;454;1;;4;;;2;6;;;;;4;;68;;;1;;1;2;;;;;1;;1;;;;;;;2;;;;;;56;5;;;;2;;;;;;;;;;;;;13;;;8;;;;;;4;;8;;;;;;;;;1;;1;;;;;;;;;;;;1;;66;;3;10;168;1;;;;;;;2;1;;;;;1;1;;;;;;;;1;;;;;6;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;
1009.5;434435;17763;464;;;;;;2;11;;;;;3;;104;;;6;;;3;;;;;;;1;2;;;;;;2;1;;;;;22;10;;;;;;;;;1;2;5;;;;;;6;;;9;;;;;;1;;2;;;;;;;;;;;1;;;;;4;;;;;;;;;65;;5;2;177;;;;;;;;2;;;;;;1;1;;;;;;;;8;;;;;3;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;
1019.5;434436;17986;397;;;2;;;;29;;;;;13;;83;;;1;;;;;;1;;;;;;;;;;;1;3;;;;;10;13;6;;;;;;1;;;;;;;;;;3;;;3;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;75;;3;;138;;;1;;;;;;4;;;;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1029.5;434437;18245;440;1;;4;;;;14;;;;;7;;69;;;6;;;1;;;;;;;1;;;;1;;;2;;;;;;44;2;;;;1;1;;;;1;;;;;;;;7;;;9;;;;;;;;8;;;;;;;;;;;;;1;;1;;;;;;;;;;70;;3;3;178;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
1049.5;434438;18693;385;;;;;;;9;;;;;3;;73;;;3;;;1;;;;;;;1;;;;;;;2;3;;;;;44;3;;;;;;;;;1;2;;1;;;;;6;;;6;;;;;;3;;3;1;;;;;;;;;;;;;;;;;;;;;;;;67;;2;;142;;;;;;;;3;;;;;;;;;;;;;;3;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1059.5;434439;18826;426;;;;;;4;7;;;;;7;;64;;;4;;;2;;;;;;;3;;;;;;;1;;;;1;;22;4;;;;1;;;;;;1;;2;;;;;7;;;2;;;;;;3;;4;;;;;;;;;;;;;;;;;;;;;;;1;;93;;3;;160;;;;;;;;8;;;;;;6;;2;;;;;;3;3;;;;;3;;;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;
1071;434440;19050;347;;;4;;;;5;;;;;3;;43;;;1;;;;;;;;;;;;;;;;1;1;;;;;;16;10;;;;3;;;;;;;;;;;;;9;;;2;;;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;74;;2;;161;;;;;;;;1;;;;;;3;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;434441;19365;373.5;0.5;;;;;;18;;;;;3;;29;;;;;;2;;;;;;;5;;;;;;;;;;;;;2;14;;;;;;;;;1;4;;;;;;;;1;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;217;;2;;50;;;;;;;;2;;;;;;;1;;;;;;;;8;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1121;434442;19635;414;;;5;;;;8;;;;;7;;66;;;;;;;11;;;;;;1;2;;;;;1;2;2;;;1;;25;17;2;;;1;;;;;3;1;;;;;;;3;;;6;;;2;;;3;;6;;;;;;;;;;;1;;;;;;;;;;;;;;64;;5;5;141;;;;;;;;;3;;;;;5;;1;;;4;;;;4;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1130.5;434443;20015;357;;;8;;;;13;;;;;8;1;51;;;1;;1;;;;;;;;3;;;;;;;1;1;;;;;26;4;;;;1;;;;;1;1;1;;;;;;5;;;8;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;85;;5;;114;;;;;;;;4;6;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;
1162.5;434444;21000;348;;;7;;;1;5;;;;;3;;47;;;1;;;;;;;;;;;;;;;;;2;1;;;;;8;4;;;;3;;;;;1;1;;;;;;;1;;;3;;;1;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;2;;119;;1;4;113;;;;;;;;8;1;;;;;;;;;;;;;;2;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1172.5;434445;21340;443;;;6;;;1;10;;;;;3;;43;;;2;;;;;;;;;;2;;;;;;;7;1;;;;;15;1;;;;;;;1;;3;3;;;;;;;4;;;;;;;;;2;;1;;;;;;;;;;;;;;;1;;;;;;;;;;171;;4;;142;;;;;;;;5;1;;;;;1;;;;;;;;;3;;;;;2;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;
1182.5;434446;21600;411;1;;4;;;2;5;;;;;6;;39;;;1;;1;2;;;;;;;2;;;;;;;2;2;;;;;68;11;;;;1;;;;;1;2;;;;;;;6;;;2;;;1;;;4;;1;1;;;;;;;;;;;;3;;2;;;;;;;;;;69;;8;;153;;;;;;;;2;2;;;;;3;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1192;434447;22249;341;;;;;;7;28;;;;;4;;110;;;;;;1;;;;;;;2;;;;;;;;;;;;2;8;3;;;;;;;;;;;;;;;;;7;;;6;;;;;;5;;6;;;;;;;;;;;;;;;1;;;;;;;;;;23;;2;;103;;;;;;;;4;;;;;;1;;;;;;;;;13;;;;;4;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1202;434448;22550;417;5;;;;;;65;;;;;1;;67;;;;;;1;;;;;;;4;;;;;;;3;6;;;;;13;1;3;;;1;;;1;;15;5;;;;;;;1;;;20;;;2;;;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;94;;6;;79;;;;;;;;3;1;;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;7;;;;;;;;2;;;;;;;;;;;
1211;434449;22880;355;;;5;;;;38;;;;;5;;111;;;3;;;;;;;;1;;3;;;;;;2;4;2;;;;;9;;;;;;;;;;3;1;;;;;;;3;;;9;;;2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;26;;6;;106;;;;;;;;3;1;;;;;;;;;;;;;;3;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1238;434450;23456;346;5;;3;;;2;8;;;;;6;;24;;;1;;;;;;;;;1;8;;;;;;;50;8;;;;;2;3;1;;;8;;;;;;4;;;;;;;1;;;1;;;;;;1;;22;5;;;;;;;;1;;;;;;1;;;;;;;;;;31;;2;;114;;;;;;;;15;1;;;;;;;;;;1;;;;15;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1246;434451;23680;447;3;;8;;;3;16;;;;;5;;120;;;;;;3;;;;;;;3;;;;;;5;4;3;;;;;17;16;;;;;1;;;;;3;;;;;;;7;;;11;;;1;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;2;;67;;11;;117;;;;;;;;2;4;;;;;4;;1;;;;;;;2;;;;;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1250.7;434452;23790;377.5;8.5;;;;;11;11;;;;;2;;78;;;;;;;;;;;;4;4;;;;;;1;7;;;;;;6;4;;;;;;;;;2;8;;;;;;;5;;;5;;;;;;4;;11;1;;;;;;;;;;;;;;2;;;;;;;;;;51;;4;;92;;;;;;;;32;1;;;;2;2;1;;;2;;;;3;3;;;;;4;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
1255.3;434453;23905;516;2;;9;;;;34;;;;;7;;173;;;2;1;;1;;;;;;;6;;;;;;;;2;;;;;9;4;;;;1;1;;;;;1;;;;;;;3;;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;78;;5;;147;;;;1;;;;3;12;;;;;;;;;;;;;;2;;;;1;5;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1260.3;434454;24035;480;3;;10;;;3;38;;;;;8;1;128;;;2;;;2;;;;;;;;;;;;;;1;;;;;;43;4;;;;;;;;;;;1;1;;;;;5;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;35;;3;2;162;;;;;;;;11;;;;;;;;;;;;;;;5;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1265;434455;24160;622;10;;11;;;7;54;;;;;6;;162;;;2;1;;1;;;;;;3;10;;;;;;2;3;3;;;;2;8;3;;;;1;;;1;;;12;;;;;;;8;;;4;3;;1;;1;1;;2;3;;;;;;;;;;;;;;1;;;;;;;;1;;83;;11;;178;;;;;;;;16;;;;;;1;;;;;;;;;3;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1269.5;434456;24280;484;5;;6;;;12;49;;;;;6;;130;;;1;;;;;;;;;;2;;;;;;2;5;3;;;;1;7;1;;;;1;;;;;;13;;1;;;;;4;;2;4;;;1;;;2;;4;;;;;;;;;;;;;;;1;;;;;;;;2;;59;;9;;128;;;;;;;;13;;;;;;;;;;1;;;;;2;;;;;3;;;;1;;1;;;;;;;;;;;;;2;;;;;;;;;;;
1274;434457;24380;350;5;;6;;;4;33;;;;;4;;115;;;;;;;;;;;;;3;;;;;;1;1;2;;;;;2;3;;;;;;;;;;6;;;;;;;5;;;2;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;45;;5;;92;;;;;;;;5;2;;;;;2;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1279.2;434458;24515;376;1;;11;;;3;31;;;;;5;;122;;;;;;2;;;;;;1;8;;;;;;2;6;1;;;;;9;4;;;;2;;;;;2;;1;;;;;;8;;;2;;;;;;;;10;;;;;;;;;;;;;;;1;;;;;;;;;;27;;4;;94;;;;;;;;8;1;;;;2;3;;;;;;;;;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1283.7;434459;24635;324;2;;7;;;1;16;;;;;4;;75;;;;;;;;;;;;;4;;;;;;;;3;;;;1;6;1;;;;1;;;;;;2;;;;;;;2;;;4;1;;4;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;1;;96;;2;;81;;;;;;;;1;;;;;;2;;;;;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1288.4;434460;24755;431;1;1;;;;3;15;;;;;6;;50;;;2;;;;;;;;;;7;;;;;;;1;;;;;;2;5;;;;;;;;;;2;;;;;;;4;;;21;;;1;;;3;;5;;;;;;;;;;;1;;;;;;;;;;;;7;;169;;7;;89;;;;;;;;1;2;;2;;;;;;;;;;;;21;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1293;434461;24880;492;3;;7;;;2;9;;;;;6;1;57;;;;1;;1;;;;;;;3;;;;;;2;2;1;;;;;31;1;1;;;;;;;;;1;;;;;;;6;;;9;;;4;;;3;;3;1;;;;;;;;;;;;;;;;;;;;;;6;;171;;6;;138;;;1;;;;;1;2;;;;;2;;;;;;;;;5;;;;;4;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1298;434462;25005;368;;;8;;;;9;;;;;9;;50;;;2;1;;3;;;;;;;8;;;;;;;5;2;;;;;18;3;;;;4;;;;;2;2;;1;;;;;5;;;3;;;2;;;3;;7;;;;;;;;;1;;;;;;;1;;;;;;;1;;88;;7;4;101;;;;;;;;3;2;;;;1;3;1;;;;1;;;;3;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1303;434463;25130;327;;1;2;;;3;10;;;;;1;;40;;;;;;1;;;;;;;4;;;;;;;;4;;;;;10;3;1;;;1;;;;;1;3;;;;;;;1;;;5;2;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;10;;135;;3;;78;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1308.5;434464;25180;354;1;;7;;;1;20;;;;;5;;39;;;;;;;;;;;;;2;;;;;;;6;3;;;;;7;3;;1;;;1;;1;;;3;;;;;;;3;;;6;;;1;;;;;5;;;;;;;;;;;;;;;1;;;;;;;;3;;104;;5;;105;;;;;;;;4;3;;;;;5;1;;;;;;;;3;;;;;4;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1312.7;434465;25295;419;;;8;;;;15;;;;;5;;70;;;2;;;;;;;;;;6;;;;;;;1;1;;;;;27;5;2;;;2;;;;;;2;;;;;;;6;;;10;;;1;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;2;;108;;8;;124;;;;;;;;6;1;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1317;434466;25410;396;1;;5;;;;5;;;;;7;;60;;;2;;;1;;;;;;;5;1;;;;;1;2;1;;;;;40;6;;;;3;1;;;;1;4;5;;;;;;12;;;4;;;2;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;70;;13;7;115;;;;;;;;5;2;;;;;2;;;;;;;;;2;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1321.5;434467;25530;336;1;;4;;;;13;;;;;7;;47;;;3;;;;;;1;;;;3;;;;;;1;1;3;;;;;5;3;;;;4;;;1;;;5;;;;;;;3;;;7;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;109;;3;;95;;;;;;;;7;;;;;;;;;;;;;;;2;;;;;3;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
1326.5;434468;25650;439;11;;5;;;5;21;;;;;3;;30;;;2;;;1;;;;;;2;6;;;;;;;6;;;;;;16;6;;;;1;;;;;;7;;;;;;;2;;;6;;;2;;;5;;5;;;;;;;;;;;;;2;;;;;;;;;;2;;143;;4;;117;;;;;;;;17;1;;;;;;;;;;;;;;2;;;;;8;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1331.3;434469;25800;456;;;6;;;3;10;;;;;10;;47;;;2;1;;2;;;;;;;1;;;;;;1;3;2;;;1;;13;5;2;;;;4;;;;;6;;;;;;;11;;;11;2;;5;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;2;;124;;8;;153;;;;;;;;5;2;;;;;2;;;;;;;;;2;;;;;5;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;
1340;434470;26040;493;2;;9;;;2;20;;;;;7;;76;;;2;;;1;;;;;;1;1;;;;;;;7;2;;;;;21;5;;1;;2;1;;;;;2;1;;;;;;2;;;13;;;6;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;95;;10;;181;;;;;;;;7;2;;;;1;1;;1;;;;;;;1;;;;;4;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
1346;434471;26200;546;;;13;;;;12;;;;;9;;78;;;3;;1;3;;;1;;;;5;;;;;;;2;2;;;;;28;4;;;;;;;;;1;3;1;;;;;;12;;;2;1;;6;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;55;;5;;273;;;;;;;;7;3;;;;;3;;;;;;;;;4;;;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
