SiteN	Metadata	Filename	Region	Country	SiteName	Chronology	Calibration method	londd	latdd	Lang et al. 2023 dataset	Neotoma Code	Author				
1	EXCLUDED	SIIKA	Bb	Finland	Siikasuo	Already present		22.07	61.3	TRUE						
1	EXCLUDED	SYRJA	Bb	Finland	Syrjalansuo	Already present		28.12	61.22	TRUE						
1	EXCLUDED	TRETT	Bb	Norway	Trettetjorn	Already present		7	60.72	TRUE						
1	EXCLUDED	HOLTJ	Bb	Sweden	Holtjarnen	Already present		14.92	60.65	TRUE						
1	EXCLUDED	HIRVI	Bb	Finland	Hirvilampi	Already present		24.25	60.63	TRUE						
1	EXCLUDED	LLETT	Bc	Russia	Lake Llet-Ti	Already present		59.3	66.5	TRUE						
1	EXCLUDED	MEZHG	Bc	Russia	Mezhgornoe	Already present		59.67	65.26	TRUE						
1	EXCLUDED		Bc	Russia	Onego Lake			34.9	61.7	FALSE						
1	EXCLUDED	GLUBO	Bc	Russia	Glubokoe	Already present		36.05	61.07	TRUE						
1	EXCLUDED		Ma	Spain	Menorca			4.1	39.9	FALSE						
1	EXCLUDED		Po	Russia	Pobochnoye			51.88	52.97	FALSE						
1	EXCLUDED	LIPIG	Po	Russia	Lipigi	Already present		43.4	49.5	TRUE						
1	EXCLUDED	KHARA	Po	Russia	Kharabuluk	Already present		44.3	47.7	TRUE						
1	EXCLUDED	BLOMO	Ta	Norway	Blomoy	Already present		4.88	60.53	TRUE						
1	EXCLUDED		Tg	Bulgaria	Western Black Sea GGC-18			28.4	42.5	FALSE						
1	NOTFOUND		Bd	Latvia	Kurjanovas			27.5	56.5	FALSE						
1	NOTFOUND		Ma	Spain	Ojos del Tremedal			-2.05	40.54	FALSE						
1	NOTFOUND		Ma	Spain	Laguna de Medina			-6.05	36.62	FALSE						
1	NOTFOUND		Pa	Slovakia	Parizske Mire			18.47	47.87	FALSE						
1	NOTFOUND		Pa	Hungary	Batorliget			22.27	47.77	FALSE						
1	NOTFOUND		Ta	United Kingdom	Dartmoor			-4	50.6	FALSE						
1	NOTFOUND		Ta	France	Guidel			-3.5	47.77	FALSE						
1	NOTFOUND		Ta	Spain	Pena Vell			-7.52	43.44	FALSE						
1	NOTFOUND		Tb	Denmark	Dallund So			10.28	55.48	FALSE						
1	NOTFOUND		Tb	France	Lake Aydat			2.99	45.66	FALSE						
1	NOTFOUND		Tb	France	Gourgon			3.88	45.61	FALSE						
1	NOTFOUND		Tb	France	Les Roustieres			3.09	44.71	FALSE						
1	NOTFOUND		Td	Spain	Lago Grande de Estanya			0.53	42.03	FALSE						
1	NOTFOUND		Tg	Serbia	Crveni Potok			19.42	43.91	FALSE						
1	NOTFOUND		Th	Slovenia	Griblje			15.28	45.57	FALSE						
1	NOTFOUND		Tc	Russia	Klukvennoye			43.45	54.78	FALSE						
1	TRUE	ABER1	Ta	United Kingdom	Abernethy Forest [use < 4 ka BC]	Already present		-3.716667	57.33	TRUE						
2	TRUE	ABER2	Ta	United Kingdom	Abernethy Forest [use > 4 ka BC]	Already present		-3.716667	57.33	TRUE						
3	TRUE	ACCES	Mb	Italy	Lago dell'Accesa	Already present		10.89166667	42.98533333	TRUE						
4	TRUE	AEGEL	Te	Switzerland	"Aegelsee, Diemtigen"	Already present		7.5395	46.6425	TRUE						
6	TRUE	ALTEN	Tb	France	Altenweiher	Pims agedepth	NA	6.99	48.01	FALSE		"De Valk, E.J., 1981. Late Holocene and present vegetation of the Kastelberg (Vosges, France). PhD Dissertation, Utrecht University, Utrecht, The Netherlands."				
7	TRUE	ANTAS	Ma	Spain	Antas	Already present		-1.823611	37.208333	TRUE						
8	TRUE	ANTUS	Bd	Estonia	Antu Sinijarv	Already present		26.325833	59.133333	TRUE						
9	TRUE	ARTSL	Ta	Ireland	Arts Lough	Already present		-6.433333	52.95	TRUE						
10	TRUE	ASHIK	Ta	United Kingdom	Loch Ashik	Already present		-5.833333	57.25	TRUE						
11	TRUE	ATXU	Td	Spain	Atxuri	Giesecke et al. 2014 (MADCAP)	Linear age model. Based on IntCal09 calibration curve.	-1.551111	43.250278	FALSE	3893	"Penalba, M.C. 1989. Dynamique de vegetation Tardiglaciaire et Holocene du centre-nord de l'Espagne d'après l'analyse pollinique. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France."	"Penalba, M.C. 1994. The history of the Holocene vegetation in northern Spain from pollen analysis. Journal of Ecology 82:815-832."			
12	TRUE	AUNEA	Tb	France	Auneau	Already present		1.793611	48.456111	TRUE						
13	TRUE	AVRIG	Tf	Romania	Avrig	Already present		24.383333	45.716667	TRUE						
14	TRUE	AYOOV	Ma	Spain	Ayoo de Vidriales	Already present		-6.1	42.1	TRUE						
15	TRUE	BACHA	Te	Switzerland	Bachalpsee	Already present		8.02	46.67	TRUE						
17	TRUE	BAMOR	Td	Spain	Basa de la Mora	Already present		0.31667	42.5333	TRUE						
18	TRUE	BANYO	Ma	Spain	Banyoles	Already present		2.75	42.133333	TRUE						
19	TRUE	BARA	Mb	Italy	Baratz	Linear interpolation		8.22551	40.68089	FALSE	57773	"Pedrotta, T., E. Gobet, C. Schwörer, G. Beffa, C. Butz, P.D. Henne, C. Morales-Molino, S. Pasta, J.F.N. van Leeuwen, H. Vogel, E. Zwimpfer, F.S. Anselmetti, M. Grosjean, and W. Tinner. 2021. 8,000 years of climate, vegetation, fire and land-use dynamics in the thermo-mediterranean vegetation belt of northern Sardinia (Italy). Vegetation History and Archaeobotany 30:789-813. [DOI: https://doi.org/10.1007/s00334-021-00832-3]"	"Calendar Years on Neotoma, but Calibrated on the article. To ask"			
20	TRUE	BEBRU	Bd	Lituania	Bebrukas Lake	Already present		24.121111	54.085278	TRUE						
21	TRUE	BEGB	Tg	Bulgaria	Peat-bog Begbunar	Linear interpolation	"Calibration performed with OxCalv3.10 (Bronk Ramsey, 2005) Curve obtain with Tilia calculation"	22.55	42.15	FALSE	22767	"Lazarova, M.A., S. Tonkov, I. Snowball, and E. Marinova. 2009. 6. Peat-bog Begbunar (Osogovo Mountains, south-west Bulgaria): Four millennia of vegetation history. Grana 48(2):147-149. [DOI: 10.1080/00173130902965157]"				
22	TRUE	BEKE	Ta	Ireland	Belle Lake	Giesecke et al. 2014 (MADCAP)	"clam,Smooth spline age model. Based on IntCal09 calibration curve. Preparer notes: Mid Holocene to late Glacial"	-7	52.2	FALSE	3913	"Craig, A.J. 1973. Studies on the ecological history of southeast Ireland, using pollen influx analysis and other methods. Doctoral dissertation. Dublin, Ireland."	"Craig, A.J. 1978. Pollen percentage and influx analysis in southeast Ireland: a contribution to the ecological history of the Late-glacial period. Journal of Ecology:297-324."			
23	TRUE	BELAU	Tb	Germany	Lake Belau	V_Sequence/P_Sequence model	"Calibrated age yr BP with OxCal 4.1, IntCal09, sigma 2, correlated to varve counts and tephra layers"	10.25111	54.09854	FALSE	52429	"Wiethold, J. 1998. Studien zur jüngeren postglazialen Vegetations- und Siedlungsgeschichte im östlichen Schleswig-Holstein. Universitätsforschungen zur Prähistorischen Archäologie 45. Habelt, Bonn."	"Wiethold, J. 1998. Welchen Beitrag liefern paläo-ökologische Untersuchungen zu heutigen langfristigen ökologischen Untersuchungsprogrammen? Das Beispiel Belauer See, Kr. Plön, Schleswig-Holstein: Die jüngere postglaziale Vegetationsgeschichte. Pages 3-16 in W. Schäfer, editor. Integriertes Monitoring - Ergebnisse, Programme, Konzepte. EcoSys Beiträge zur Ökosystemforschung 7. Vorstand des Vereins zur Förderung der Ökosystemforschung zu Kiel & Direktorium des Ökologie-Zentrums der Universität Kiel, Kiel."	"Wiethold, J. 2000. Archäologische Forschungsmethoden und Ergebnisse zur Wechselbeziehung von Mensch und Umwelt im Mittelalter. Pages 74-80 in A. Wieczorek and H.M. Hinz, editors. Europas Mitte um 1000. Theiss, Stuttgart."	"Dörfler, W., I. Feeser, C. van den Bogaard, S. Dreibrodt, H. Erlenkeuser, A. Kleinmann, J. Merkt, and J. Wiethold. 2012. A high-quality annually laminated sequence from Lake Belau, Northern Germany: Revised chronology and its implications for palynological and tephrochronological studies. Holocene 22(12):1413-1426."	
24	TRUE	BELIY	Tg	Bulgaria	Beliya Kanton	Linear interpolation	CAL BP age with CLAM (Blaauw) sigma 2	24.139665	41.734405	FALSE	41491	"Lazarova, M.A., S. Tonkov, E. Marinova, D. Ivanov, and E.D.B. Bozilova. 2011. Western Rhodopes Mountains (Bulgaria): peat bog Beliya Kanton. Grana 50(2):162-164. [DOI: 10.1080/00173134.2011.573863]"				
25	TRUE	BELLE	Ta	France	Bellengreville	Already present		-0.215	49.116667	TRUE						
26	TRUE	BERE	Tc	Russia	Berezovskoye	linear interpolation	CAL BP age with CLAM (Blaauw) sigma 2	38.5838	53.66192	FALSE	46466	"Novenko, E.Y., E.M. Volkova, M.P. Glasko, and I.S. Zuganova. 2011. Palaeoecological evidence for the middle and late Holocene vegetation, climate and land use in the upper Don River basin (Russia). Vegetation History and Archaeobotany 21(4-5):337-352. [DOI: 10.1007/s00334-011-0339-6]"				
27	TRUE	BERGA	Bd	Sweden	Bergakyllen	Already present		16.15	57.166667	TRUE						
28	TRUE	BEZYM	Bd	Belarus	Bezymiannoe	Already present		30.000278	54.216667	TRUE						
29	TRUE	BISCA	Td	France	Biscaye [partial copy from EPD]	Already present		-0.083333	43.033333	TRUE						
30	TRUE	BISKU	Tb	Poland	Biskupinskie Lake	Already present		17.733333	52.783333	TRUE						
31	TRUE	BISOC	Tf	Romania	Bisoca [partial copy from EPD]	Already present		26.666667	45.533333	TRUE						
32	TRUE	BIVIE	Mb	Italy	Biviere di Gela	Already present		14.33333333	37.01666667	TRUE						
33	TRUE	BLEDO	Tb	Poland	Bledowo Lake	Already present		20.666667	52.55	TRUE						
34	TRUE	BOITE	Te	France	Lac des Boites	Already present		5.885278	45.056111	TRUE						
35	TRUE	BOKAN	Mb	Croatia	Bokanjacko	Already present		15.233333	44.183333	TRUE						
36	TRUE	BORKO	Tb	Czeck Republic	Borkovicka blata	Already present		14.9	49.216667	TRUE						
37	TRUE	BRAZI	Tf	Romania	Lake Brazi	Already present		22.9017	45.3964	TRUE						
38	TRUE	BURGA	Tb	Switzerland	Burgaschisee	Smoothing spline 0.23 (clam)	IntCal13	7.67	47.17	FALSE	41469	"Rey, F., E. Gobet, J.F.N. van Leeuwen, A. Gilli, U.J. van Raden, A. Hafner, O. Wey, J. Rhiner, D. Schmoker, J. Zund, and W. Tinner. 2017. Vegetational and agricultural dynamics at Burgäschisee (Swiss Plateau) recorded for 18,700 years by multi-proxy evidence from partly varved sediments. Vegetation History and Archaeobotany 26:571-586."				
39	TRUE	CANAD	Ma	Spain	Canada de la Cruz	Provided		-2.69	38.06	FALSE		"Carri�n, J.S., Munuera, M., Dupr�, M., Andrade, A., 2001. Abrupt vegetation changes in the Segura Mountains of southern Spain throughout the Holocene. Journal of Ecology 89, 783�797."				
40	TRUE	CANDI	Ma	Portugal	Charco da Candieira	Already present		-7.5725	40.33833333	TRUE						
41	TRUE	CAPA	Tf	Romania	Capatana	linear interpolation	CAL BP age with CLAM (Blaauw) sigma 2	23.14	46.47	FALSE	45298	"Farcas, S., V. Lupsa, I. Tantau, and A. Bodnariuc. 2003. Reflectarea procesului de antropizare în diagramele sporo-polinice din Muntii Apuseni. Environment and Progress, Cluj-Napoca:231-236."				
42	TRUE	CERVE	Tb	Czeck Republic	Cervene blato	Already present		14.933333	48.85	TRUE						
43	TRUE	CHAMP	Tb	France	Champ Gazon	Provided	CAL BP age with CLAM (Blaauw) sigma 2	4.048611	47.203333	FALSE	25344	"Jouffroy-Bapicot, I. 2010. Evolution de la végétation du massif du Morvan (Bourgogne - France) depuis la dernière glaciation à partir de l'analyse pollinique. Variations climatiques et impact des activités anthropiques.. Doctoral dissertation. Université de Franche-Comté, Besançon, France."	"Jouffroy-Bapicot, I., B. Vannière, E. Gauthier, H. Richard, F. Monna, and C. Petit. 2013. 7000 years of vegetation history and land-use changes in the Morvan Mountains (France): A regional synthesis. The Holocene 23(12):1888-1902."			
44	TRUE	CHERN	Tc	Belarus	Chernikhovo	Already present		26.433333	53.416667	TRUE						
45	TRUE	CHIST	Bc	Russia	CHISTIC	Already present		33	57.335	TRUE						
46	TRUE	CLAIR	Ta	United Kingdom	Loch Clair	Already present		-5.343611	57.558889	TRUE						
47	TRUE	CLARA	Ta	Ireland	Clara Bog	linear interpolation	Connolly 1999	-7.63	53.32	FALSE	14177	"Connolly, A. 1999. The Paleoecology of Clara Bog, Co. Offaly. Doctoral dissertation. Trinity College, University of Dublin, Dublin, Leinster, Ireland."				
48	TRUE	CLEAT	Ta	United Kingdom	Loch Cleat	Already present		-6.333333	57.066667	TRUE						
49	TRUE	COIRE	Ba	United Kingdom	Coire Bog	Already present		-4.416667	57.85	TRUE						
50	TRUE	COLFI	Mb	Italy	Colfiorito	Already present		12.925	43.025	TRUE						
51	TRUE	CORRE	Te	France	Correo	Already present		5.983056	44.508333	TRUE						
52	TRUE	COSTA	Th	Italy	Lago della Costa AP1	Already present		11.73916667	45.26883333	TRUE						
53	TRUE	CRANE	Ta	United Kingdom	Cranes moor	Linear interpolation	CAL BP age with CLAM (Blaauw) sigma 2	-1.73	50.83	FALSE	41222	"Grant, M.J., P.D.M. Hughes, and K.E. Barber. 2009. Early to mid-Holocene vegetation-fire interactions and responses to climatic change at Cranes Moor. Pages 198-214 in M.R.B.R.T.H.a.F.F.W.-S. R.M. Briant, editor. The Quaternary of the Solent Basin and West Sussex raised beaches.New Forest, Quaternary Research Association edition. 13. London, United Kingdom."	"Grant, M.J., P.D.M. Hughes, and K.E. Barber. 2014. Climatic influence upon early to mid-Holocene fire regimes within temperate woodlands: a multi-proxy reconstruction from the New Forest, southern England. Journal of Quaternary Science 29(2):175-188."			
54	TRUE	CREGG	Ta	Ireland	Cregganmore	Already present		-9.6	54.25	TRUE						
55	TRUE	CRENO	Mb	France	Lac de Creno	Already present		8.9458	42.2047	TRUE						
56	TRUE	CSOGL	Pa	Hungary	CsÓgle	Already present		17.255	47.215833	TRUE						
57	TRUE	CZAJK	Tb	Poland	Czajkow	Already present		21.283333	50.783333	TRUE						
58	TRUE	DAGSM	Bd	Sweden	Dags Mosse	Already present		14.7	58.333333	TRUE						
59	TRUE	DELFI	Mc	Greece	Delphinos	Already present		24.29278	35.35083	TRUE						
60	TRUE	DOLGO	Bd	United Kingdom	Dolgoe	Already present		28.183333	55.233333	TRUE						
61	TRUE	DOVJO	Tc	Ukraine	Dovjok Swamp	Already present		28.25	48.75	TRUE						
62	TRUE	DRUIM	Ba	United Kingdom	Lochan an Druim	Already present		-4.7	58.466667	TRUE						
63	TRUE	DRYL2	Tg	Bulgaria	Sucho Ezero II [EPD: Dry Lake II]	Already present		23.533333	42.05	TRUE						
64	TRUE	DURA1	Po	United Kingdom	Lake Durankulak [Core DI]	Already present		28.55	43.666667	TRUE						
65	TRUE	DURA2	Po	United Kingdom	Lake Durankulak [Core DII]	Already present		28.55	43.666667	TRUE						
66	TRUE	DURCH	Tb	Germany	Durchenbergried	Already present		8.983333	47.783333	TRUE						
67	TRUE	EBRO	Ma	Spain	Central Ebro Desert	Giesecke et al. 2014 (MADCAP)	"clam, MADCAP"	-0.3	41.2	FALSE		"Davis, B.A.S., 1994. Palaeolimnology and Holocene environmental change from endoreic lakes in the Ebro Basin, North-East Spain. Unpublished PhD Thesis, University of Newcastle-Upon-Tyne, United Kingdom. "	"Davis, B.A.S., Stevenson, A.C., 2007. The 8.2 ka event and Early-Mid Holocene forests, fires and flooding in the Central Ebro Desert, NE Spain. Quaternary Science Reviews 26, 1695�1712. "			
68	TRUE	EDESS	Tg	Greece	Edessa	Already present		21.9525	40.818056	TRUE						
69	TRUE	ELCA	Ma	Spain	El Carrizal de Cuellar	Linear interpolation	"Extrapolation at the bottom of the sequence. Calibrated dates with OxCal 4.2.4. Chronology with CLAM, IntCal13."	-4.15	41.32	FALSE	48931	"Franco-Múgica, F., M. García-Antón, J. Maldonado-Ruiz, C. Morla-Juaristi, and H. Sainz-Ollero. 2005. Ancient pine forest on inland dunes in the Spanish northern meseta. Quaternary Research 63:1-14. [DOI: 10.1016/j.yqres.2004.08.004]"				
70	TRUE	ERMIS	Bd	Estonia	Lake Ermistu	Already present		23.966667	58.366667	TRUE						
71	TRUE	ESPIN	Ma	Spain	Espinosa de Cerrato	Already present		-3.935	41.956	TRUE						
72	TRUE	ESTAN	Td	Androrra	Bosc dels Estanyons	Already present		1.628889	42.480278	TRUE						
73	TRUE	ETAN	Tb	Switzerland	Etang de la Gruere	Author		7.05	47.24	FALSE		"Roos-Barraclough, F., van der Knaap, W.O., van Leeuwen, J.F.N., Shotyk, W., 2004. A Late-glacial and Holocene record of climate change from a Swiss peat humification profile. The Holocene 14, 7�19."				
74	TRUE	EZERI	Bd	Belarus	Ezerisch	Already present		30	55.85	TRUE						
75	TRUE	FARSH	Bd	Sweden	Fãrshesjon	Already present		15.866667	56.166667	TRUE						
76	TRUE	FLARK	Bd	Sweden	Lake Flarken	Already present		13.666667	58.583333	TRUE						
77	TRUE	GALLA	Ta	United Kingdom	Gallanech Beg	Already present		-5.501389	56.384444	TRUE						
78	TRUE	GARVA	Tg	Bulgaria	Mire Garvan	Giesecke et al. 2014 (MADCAP)	"cllam, Linear age model. Based on IntCal09 calibration curve"	26.911685	44.10742	FALSE	4063	"Lazarova, M. 1995. Human impact on the natural vegetation in the region of Lake Srebarna and mire Garvan (northeastern Bulgaria). Palynological and Palaeoethnobotanical evidence. Pages 47-67 in E. Bozilova and S. Tonkov, editors. Advances in Holocene Palaeoecology in Bulgaria. Pensoft Publication, Sofia-Moscow."				
79	TRUE	GEMBR	Te	Italy	Pian di Gembro	Already present		10.15166667	46.15833333	TRUE						
80	TRUE	GERLO	Te	Austria	Gerlos	Already present		12.13666667	47.23916667	TRUE						
81	TRUE	GLOPP	Bb	Sweden	Lilla Gloppsjon	Already present		14.627778	59.804444	TRUE						
82	TRUE	GORGO	Mb	Italy	Gorgo Basso	Already present		12.65	37.61666667	TRUE						
83	TRUE	GOSCI	Tb	Poland	Lake Gosciaz	Already present		19.35	52.583333	TRUE						
84	TRUE	GOUNE	Td	France	Gourg Ngre [from EPD	Already present		2.217	42.633	TRUE						
85	TRUE	GRETS	Bd	Belarus	Gretskoe	Already present		27.766667	55.633333	TRUE						
86	TRUE	GUADI	Ma	Spain	Guadiana	Already present		-7.162	37.096	TRUE						
87	TRUE	HANCZ	Bd	Poland	Lake Hancza	Already present		22.816667	54.266667	TRUE						
88	TRUE	HIERE	Tb	France	Hieres sur Amby	Already present		5.283333333	45.78783333	TRUE						
89	TRUE	HOCHM	Te	Austria	Hochmoos	Already present		13.20083333	47.42166667	TRUE						
90	TRUE	HOCK	Ta	United Kingdom	Hockham Mere	Giesecke et al. 2014 (MADCAP)	"Linear age model. Clam, Based on IntCal09 calibration curve."	0.833333	"	52.5"	FALSE	4095	"Bennett, K.D. 1983. Devensian late-glacial and flandrian vegetational history at Hockham mere, Norfolk, England. New Phytologist 95(489-504). https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1983.tb03512.x. [DOI: 10.1111/j.1469-8137.1983.tb03512.x]"	"Godwin, H., and P.A. Tallantire. 1951. Studies of the Post-glacial history of British vegetation XII. Hockam Mere, Norfolk. Journal of Ecology 39(2):285-307. https://www.jstor.org/stable/2257913. [DOI: 10.2307/2257913]"			
91	TRUE	HOLZ	Tb	Germany	Holzmaar	Author preferred	Varve years BP	6.87864	50.11919	FALSE	41480	"Brauer, A., T. Litt, J.F.W. Negendank, and B. Zolitschka. 2001. Lateglacial varve chronology and biostratigraphy of lakes Holzmaar and Meerfelder Maar, Germany. Boreas 30:83-88."	"Litt, T., and M. Stebich. 1999. Bio- and chronostratigraphy of the lateglacial in the Eifel region, Germany. Quaternary International 61:5-16."	"Litt, T., C. Schölzel, N. Kühl, and A. Brauer. 2009. Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments. Boreas 38:679-690."	"Litt, T., M. Früchtl, B. Kubitz, and M. Stebich. 1997. Jungquartäre Floren in den Eifelmaaren. Terra Nostra 1997(7):54-62. Notes: Exkursionsführer zur 67. Jahrestagung der Paläontologischen Gesellschaft"	"Litt, T., M. Früchtl, B. Kubitz, and M. Stebich. 1997. Palaeobotanical investigations. Terra Nostra 1997(8):25-29. Notes: In: 7th International Symposium on Palaeolimnology, Excursion Guide Excursion B (Laacher See and Eifel Maar lakes)"
92	TRUE	HOZEL	Tf	Slovakia	Hozelec	Giesecke et al. 2014 (MADCAP)	"clam, Smooth spline age model. Based on IntCal09 calibration curve."	20.332	49.046414	TRUE	4428	"Jankovská, V. 1988. A reconstruction of the Late-Glacial and Early-Holocene evolution of forest vegetation in the Poprad basin, Czechoslovakia. Folia Geobotanica & Phytotaxonomica 23:303-320."				
93	TRUE	HRABA	Tb	Czeck Republic	HrabanoskÊ cernava	Already present		14.831667	50.216389	TRUE						
94	TRUE	HUZEN	Tb	Germany	Huzenbacher See	Already present		8.348056	48.574444	TRUE						
95	TRUE	ILMEN	Bc	Russia	Ilmen Lake	Already present		31.233333	58.3	TRUE						
96	TRUE	IOANN	Tg	Greece	Ioannina	Already present		20.85	39.75	TRUE						
97	TRUE	JARVE	Bd	Estonia	Lake Jarveotsa	Already present		24.283333	59.033333	TRUE						
98	TRUE	JASIE	Tf	Poland	Jasiel	Already present		21.886944	49.372778	TRUE						
99	TRUE	KANSJ	Bd	Sweden	Kansjon	Already present		14.533333	57.633333	TRUE						
100	TRUE	KARDA	Po	Ukraine	Kardashinski Swamp	Already present		32.616667	46.516667	TRUE						
101	TRUE	KINGS	Ta	United Kingdom	King's Pool	Already present		-2.108333	52.808333	TRUE						
102	TRUE	KIRIK	Bd	Estonia	Kirikumae	Already present		27.25	57.666667	TRUE						
103	TRUE	KMOHO	Pa	Hungary	Kis-Mohos T¢	Already present		20.40833	48.4111	TRUE						
104	TRUE	KOLDI	Tc	Belarus	Koldychevo	Already present		26.066667	53.266667	TRUE						
105	TRUE	KOPAI	Mc	Greece	Kopais	Already present		23.066667	38.483333	TRUE						
106	TRUE	KOURN	Mc	Greece	Kournas	Already present		24.2761	35.32778	TRUE						
107	TRUE	KRAGE	Tb	Sweden	KrageholmssjÓn	Already present		13.733333	55.5	TRUE						
108	TRUE	KREME	Tg	Bulgaria	Lake Kremensko-5	Already present		23.525	41.7083	TRUE						
