Calluna vulgaris,TRSH,pollen,NISP,,18,17,16,27,46,54,34,39,48,45,32,32,25,20,26,18,28,16,12,9,2,7,13,4,10,6,5,7,10,8,8,13,10,11,9,4,7,16,19,15,20,14,19,11,5,1,3,3,4,3,4,1,7,5,1,1,1,5,2,4,2,1,12,1,5,1,1,1,3,3,8,4,7,,,1,1,,,1,,,,,,,1,,
Carpinus,TRSH,pollen,NISP,,5,4,5,7,9,8,8,8,23,37,39,30,38,45,34,44,43,35,60,47,36,30,38,28,50,51,42,26,44,27,18,31,21,17,15,11,18,16,10,15,20,15,15,3,15,3,4,1,,5,,1,,,1,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus cf. C. suecica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Corylus,TRSH,pollen,NISP,,7,6,16,19,19,22,33,28,63,30,28,24,16,28,26,31,29,28,19,35,51,31,49,53,58,56,58,51,54,41,40,42,34,66,88,101,85,93,109,98,119,116,93,56,295,244,275,449,327,351,351,313,300,166,156,121,160,295,307,242,152,145,101,191,157,230,197,196,202,259,473,168,141,32,,,1,,1,2,5,,,,,,,1,
Empetrum,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,33,25,41,54,76,42,20,7,31,35,60,6,1
Ephedra distachya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
Ericaceae undiff.,TRSH,pollen,NISP,,,,,1,3,4,4,,2,5,2,,1,3,2,1,1,1,,,,,2,,,1,,,,,2,,1,1,,,,,2,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,1,2,,2,,1,1,6,,7,1,4,,2,3,,2,,1,1,,,,1,,1,
Euonymus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,29,21,25,19,29,27,16,28,31,44,81,99,95,170,197,219,213,181,468,331,229,194,272,250,343,213,262,135,162,134,85,62,45,26,24,34,29,16,24,18,19,32,20,10,45,2,1,2,5,4,6,1,3,2,,2,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frangula,TRSH,pollen,NISP,,,,,,,,,1,,,,,2,,4,2,1,,,,,,,,,,,1,,1,,,1,2,1,,,,,1,1,,,,2,1,,1,,,,1,3,1,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
