"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Cerealia.t","CalYrBP.2"
"174","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7698/--",533,1059.25,8,"7698"
"175","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7726/--",535,1081,32,"7726"
"176","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7959/--",494,988,0,"7959"
"177","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-29/--",535,1078.75,40,"-29"
"178","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/398/--",573,1159.25,16,"398"
"179","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/767/--",578,1186.5,36,"767"
"180","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1168/--",568,1145.75,12,"1168"
"181","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3060/--",565,1128.5,4,"3060"
"182","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3746/--",743,1467,0,"3746"
"183","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4270/--",617,1227,16,"4270"
"184","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5191/--",586,1155.5,0,"5191"
"185","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5971/--",699,1383.25,20,"5971"
"186","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7452/--",522,1105,92,"7452"
"187","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7575/--",497,981,0,"7575"
"188","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7712/--",533,1064.25,16,"7712"
"189","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7883/--",511,1026,8,"7883"
"190","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-12/--",565,1163.25,80,"-12"
"191","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/21/--",550,1071.25,20,"21"
