name,group,element,units,context,S243476,S243477,S243478,S243479,S243480,S243481,S243482,S243483,S243484,S243485,S243486,S243487,S243488,S243489,S243490,S243491,S243492,S243493,S243494,S243495,S243496,S243497,S243498,S243499,S243500,S243501,S243502,S243503,S243504,S243505,S243506,S243507,S243508,S243509,S243510,S243511,S243512,S243513,S243514,S243515,S243516,S243517,S243518,S243519,S243520,S243521,S243522,S243523,S243524,S243525,S243526,S243527,S243528,S243529,S243530,S243531,S243532,S243533,S243534,
Allium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,2,1,,,1,3,2,3,,3,4,1,,,,1,3,6,3,5,3,3,,3,5,1,4,2,1,,,4,6,2,5,4,4,3,,1,1,,1,1,1,1,1,,,5,1,1,,4,4,2,1,1,
Amaranthaceae,UPHE,pollen,NISP,,25,12,14,17,15,28,72,48,23,29,10,10,2,5,8,3,5,5,9,16,10,10,10,12,12,12,7,14,7,9,13,9,5,6,8,2,10,8,13,4,6,6,8,9,4,1,16,5,4,9,9,5,9,20,12,7,5,7,7,
Anemone-type,UPHE,pollen,NISP,,,5,10,8,4,19,10,6,4,4,7,,,3,7,6,5,8,9,3,3,3,3,9,1,4,,1,2,,2,2,,1,1,,2,,,,,,1,2,1,1,2,1,,,,4,3,3,2,7,6,7,11,
Apiaceae,UPHE,pollen,NISP,,1,,2,2,4,,,2,3,2,2,4,,3,7,2,1,3,9,5,3,,2,4,3,5,1,2,3,2,,3,2,2,2,1,5,2,1,,3,1,1,1,,1,3,3,,2,3,3,6,,1,7,12,1,5,
Arbutus,TRSH,pollen,NISP,,,,,,,,,,1,,1,,,1,2,1,,,1,,2,,2,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
Arceuthobium oxycedri,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,2,9,6,3,16,3,12,11,6,6,4,6,3,5,3,3,2,7,13,15,20,4,4,12,18,13,3,5,5,4,9,9,15,11,6,4,17,10,10,5,6,8,1,5,1,2,4,3,6,8,6,6,5,9,10,9,7,3,5,
Asphodelus,UPHE,pollen,NISP,,,,,,2,1,,2,2,1,1,2,3,4,3,1,5,4,4,1,2,5,4,1,1,,2,,,1,,1,1,1,2,,,1,1,,,,1,,,,,,1,,,1,,,,,2,,2,
Asteroideae,UPHE,pollen,NISP,,4,11,29,12,38,19,38,30,24,34,17,13,21,23,17,36,16,27,44,24,33,19,24,8,24,29,51,70,19,57,39,24,8,16,13,4,27,13,50,48,26,34,22,66,46,37,84,38,25,39,20,25,17,47,46,28,36,13,105,
Avena-type,UPHE,pollen,NISP,,1,5,5,9,13,4,8,5,,3,2,,1,1,3,1,1,1,6,,2,4,4,,,2,,1,1,,2,,1,2,,,4,6,6,1,3,1,,1,,3,3,,2,4,3,,1,7,3,5,2,3,6,
Betula,TRSH,pollen,NISP,,1,,,1,,,3,,2,,,,,,,,,,,,1,1,1,,,1,,,1,,1,1,,3,,1,1,1,1,2,,2,,,1,,,,1,1,2,1,,,,1,,,1,
Botrychium,VACR,spore,NISP,,1,4,,2,3,3,4,4,11,2,3,7,39,18,30,20,6,34,28,5,6,12,17,14,5,,7,,1,,,2,1,,,,,,,,,,,,,,,,,,,2,,1,,1,1,,,
Brassicaceae,UPHE,pollen,NISP,,2,2,1,1,4,2,,7,,1,2,,5,1,,2,1,1,2,2,,,,1,4,,2,,1,1,1,1,3,,,1,,2,1,,2,1,1,1,,,3,,1,1,1,,1,8,1,1,1,1,1,
Buxus,TRSH,pollen,NISP,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Calligonum,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Campanulaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
Carpinus betulus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,2,,,1,,2,,1,,,,1,,,,3,,2,,,,1,,1,,,1,,1,1,,,,,1,,,,,1,,,
Caryophyllaceae,UPHE,pollen,NISP,,8,28,70,71,98,37,69,52,53,74,21,14,7,21,37,61,90,142,216,33,15,19,50,39,10,6,,4,6,3,2,8,11,1,2,2,7,5,2,1,4,2,2,1,3,3,4,,1,5,7,9,2,7,2,10,8,12,82,
Castanea,TRSH,pollen,NISP,,,1,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,1,,,,2,,,,,,,,,,,,,,,1,1,,3,,,,1,,,,,,
Centaurea cyanus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea solstitialis-type,UPHE,pollen,NISP,,,,2,,5,,,1,2,1,3,,,1,,1,,4,1,3,12,,,3,9,1,2,3,,1,,,1,,,1,,,3,,1,1,1,,,1,,1,1,,,4,2,2,,,4,3,5,
Centaurea undiff.,UPHE,pollen,NISP,,,,,,,,,3,,,,,1,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Cichorioideae,UPHE,pollen,NISP,,6,11,51,27,28,43,64,31,30,30,22,50,66,93,90,201,51,75,197,36,36,104,109,19,12,11,32,9,4,4,19,17,7,2,7,1,4,14,12,2,8,4,1,5,2,17,14,12,8,15,4,16,2,16,13,11,76,16,179,
Cistus incanus-type,UPHE,pollen,NISP,,,1,,,1,1,1,1,1,4,1,1,1,4,6,8,1,5,9,2,2,4,1,3,4,1,1,,,1,1,,,2,,,,,1,,2,1,,1,,,,,,1,1,,1,1,2,,2,1,,
Cistus monspeliensis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus salviifolius,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus undiff.,UPHE,pollen,NISP,,,,,1,,1,1,,8,4,3,1,,2,5,2,3,3,2,,1,,1,,2,,,,2,,,1,,,,,1,,2,,,,,,1,,,,,,,1,,,,1,,,1,
Convolvulus arvensis,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
Cornus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
