"name","group","element","units","context","S492388","S492389","S492390","S492391","S492392","S492393","S492394","S492386","S492387","S492395","S492404","S492414","S492424","S492434","S492443","S492453","S492463","S492468","S492478","S492488","S492498","S492504","S492514","S492524","S492534","S492541","S492396","S492397","S492398","S492399","S492400","S492401","S492403","S492402","S492405","S492406","S492407","S492408","S492409","S492411","S492412","S492413","S492415","S492416","S492417","S492418","S492419","S492420","S492422","S492423","S492425","S492426","S492427","S492428","S492429","S492431","S492432","S492433","S492435","S492436","S492437","S492438","S492439","S492441","S492442","S492444","S492445","S492446","S492447","S492449","S492448","S492451","S492452","S492454","S492455","S492456","S492457","S492459","S492458","S492460","S492462","S492464","S492465","S492466","S492467","S492469","S492470","S492471","S492472","S492474","S492475","S492476","S492477","S492479","S492480","S492481","S492482","S492483","S492485","S492486","S492487","S492489","S492490","S492491","S492492","S492493","S492495","S492496","S492497","S492499","S492500","S492501","S492502","S492503","S492505","S492506","S492507","S492509","S492510","S492511","S492512","S492513","S492515","S492516","S492517","S492519","S492520","S492521","S492522","S492523","S492525","S492526","S492527","S492529","S492530","S492531","S492533","S492532","S492535","S492536","S492537","S492538","S492540","S492543","S492542","S492544","S492410","S492421","S492430","S492440","S492450","S492461","S492473","S492484","S492494","S492508","S492518","S492528","S492539","S492548","S492545","S492547","S492549","S492550","S492546"
Fabaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,2,3,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,
Fagus,TRSH,pollen,NISP,,91,59,53,49,82,155,116,78,98,127,73,73,126,63,107,136,81,102,176,157,153,364,311,186,349,3,135,50,51,62,44,62,81,51,81,76,45,44,59,62,50,76,61,102,62,79,106,33,70,85,77,67,57,82,181,96,92,93,84,88,90,98,80,57,114,93,195,112,114,318,101,72,195,235,80,168,102,64,101,64,109,69,86,118,65,90,83,102,102,90,50,191,226,187,66,201,162,202,172,183,114,228,182,111,179,193,170,147,232,255,200,133,164,192,166,163,190,122,252,245,157,234,206,207,243,230,105,212,209,287,132,193,183,212,219,357,161,139,146,218,67,120,28,3,6,,121,78,79,62,154,154,70,154,131,190,262,143,170,46,,3,8,26,5
Filipendula,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
Fraxinus excelsior,TRSH,pollen,NISP,,,,,1,,3,1,2,2,,2,,9,,,,,2,1,2,1,3,3,2,5,,3,,,1,,1,,1,,2,,1,,1,,1,,1,,,2,3,,3,2,2,4,,2,,3,2,,,1,2,,1,1,,,1,,1,1,1,2,1,,,2,1,3,1,2,,5,1,,,4,2,3,2,,6,2,1,1,1,,2,,7,,,2,1,1,1,3,,,4,1,4,5,,2,3,3,1,,3,2,7,3,5,,,1,3,5,,1,,,6,9,1,5,1,1,3,4,2,,,2,2,2,,1,,1,,,3,,2,1,2,2,1,,1,1,,1
Fraxinus ornus,TRSH,pollen,NISP,,,,,,,1,1,,,,,,1,5,1,2,,,,,1,2,10,5,2,,2,5,,,,,1,,,,,,,,,1,,,,,1,,,,1,,2,,1,,,,,,2,,,1,4,1,,3,2,4,2,2,2,,1,5,4,5,5,3,5,2,1,,1,4,1,1,2,,1,3,1,1,3,,2,1,1,8,3,,,4,3,1,9,3,,6,,6,,2,,,3,2,4,2,3,7,5,8,2,2,2,1,6,1,1,4,3,8,11,2,1,5,6,1,2,4,5,,1,1,2,,,,1,6,2,3,2,2,,4,9,7,1,1,7,6,3
Fumaria officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,,
Hedera helix,TRSH,pollen,NISP,,1,1,,,2,,,,,1,3,3,3,5,6,3,5,1,3,3,4,8,7,3,2,,1,,,,,,,,1,2,1,1,3,,13,10,4,7,6,4,7,,2,2,2,5,2,6,6,,3,6,7,9,3,5,1,2,1,1,1,3,2,12,2,3,6,5,1,5,4,,10,2,1,1,3,3,4,2,3,3,5,13,3,2,7,3,1,6,6,12,6,10,4,4,7,2,19,9,9,7,4,6,2,7,9,,,3,2,4,6,6,1,6,5,10,2,3,3,14,5,6,3,3,5,3,2,7,2,1,2,,,,,,1,,2,5,2,2,7,9,,4,7,3,2,2,2,1,,1,,,
Helianthemum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,12,6,7,,,,,,,,,,,,,,11,7,11,6,5,14
Helleborus,UPHE,pollen,NISP,,,,,,,7,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
Hypericum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
