"name","group","element","units","context","S384276","S384277","S384278","S384279","S384280","S384281","S384282","S384283","S384284","S384285","S384286","S384287","S384288","S384289","S384290","S384291","S384292","S384293","S384294","S384295","S384296","S384297","S384298","S384299","S384300","S384301","S384302","S384303","S384304","S384305","S384306","S384307","S384308","S384309","S384310","S384311","S384312","S384313","S384314","S384315","S384316","S384317","S384318","S384319","S384320","S384321","S384322","S384323","S384324","S384325","S384326","S384327","S384328","S384329","S384330","S384331","S384332","S384333","S384334","S384335","S384336","S384337","S384338","S384339","S384340","S384341","S384342","S384343","S384344","S384345","S384346","S384347","S384348","S384349","S384350","S384351","S384352","S384353","S384354","S384355","S384356","S384357","S384358","S384359","S384360","S384361","S384362","S384363","S384364","S384365","S384366","S384367","S384368","S384369","S384370","S384371","S384372","S384373","S384374","S384375","S384376","S384377","S384378","S384379","S384380","S384381","S384382","S384383","S384384","S384385","S384386","S384387","S384388","S384389","S384390","S384391","S384392","S384393","S384394","S384395","S384396","S384397","S384398","S384399","S384400","S384401","S384402","S384403","S384404","S384405","S384406","S384407","S384408","S384409","S384410","S384411","S384412","S384413","S384414","S384415","S384416","S384417","S384418","S384419","S384420","S384421","S384422","S384423","S384424","S384425","S384426","S384427","S384428","S384429","S384430","S384431","S384432","S384433","S384434","S384435","S384436","S384437","S384438"
Cirsium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,1,,,,,,
Convolvulus arvensis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Corylus/Myrica,TRSH,pollen,NISP,,235,227,218,353,219,343,492,556,599,515,669,644,604,599,458,326,330,364,394,363,343,348,382,386,458,383,286,631,203,386,362,597,442,580,576,521,678,628,696,698,690,638,460,567,643,631,514,624,531,568,498,333,577,477,623,602,662,634,675,675,646,710,692,737,785,743,673,745,691,755,688,676,745,684,775,988,702,642,703,898,753,762,907,865,755,711,739,797,764,794,732,707,678,817,700,851,738,807,777,744,731,824,702,753,830,727,807,711,711,801,705,772,763,701,670,606,729,523,548,494,482,620,685,537,678,397,434,495,457,625,503,236,226,191,114,67,17,18,10,3,1,2,1,1,,3,,9,,3,3,4,,3,2,3,,,1,3,,2,
Crataegus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae undiff.,UPHE,pollen,NISP,,47,30,57,9,28,7,8,11,1,6,1,3,7,1,4,,3,,6,9,3,10,15,5,4,8,12,2,3,2,8,3,2,6,3,8,5,8,4,12,9,13,1,12,1,12,3,8,5,3,6,4,1,6,4,7,3,3,3,5,1,1,5,,1,,2,3,3,1,8,7,2,,5,3,5,6,1,8,2,1,5,3,3,3,2,2,2,1,2,4,2,7,6,5,3,2,4,2,3,10,2,6,3,11,5,2,3,11,6,4,2,7,5,3,4,9,2,6,5,4,4,4,8,6,3,7,14,8,16,32,29,18,25,8,17,27,18,23,86,66,45,133,42,174,67,84,33,26,26,33,31,24,43,22,27,20,34,23,27,29,44
Drosera,AQVP,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris filix-mas-type,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,1,3,,2,2,5,2,2,1,,,,,,,,,,,,,,,,,,,,,
Empetrum nigrum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,2,,1,,,,,,2,1,1,2,2,5,3,10,1,,1,,,,,,,,,,,,
Equisetum,VACR,spore,NISP,,,1,,1,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,2,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,1,3,18,14,52,8,2,8,1,,,1,1,11,2,13,14,1,,2,,1,3,
Ericales undiff.,TRSH,pollen,NISP,,6,3,1,1,3,2,5,8,4,1,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,,2,1,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,2,,,,1,,,,,,1,3,1,1,,,6,,4,,1,,,,,,,,1,,,,1,
Eucalyptus spike,LABO,counted,number,,1987,2034,1572,1282,1647,1373,843,1334,1126,906,957,1271,1212,1041,1491,958,2107,1477,2413,1891,1436,1662,1582,2039,1584,4319,1515,1685,957,1539,894,1222,1147,1218,1139,1065,1486,1309,1329,1175,1316,1419,1048,1664,2101,1621,1762,1840,2294,2667,2166,1544,2240,1814,1789,1228,1574,1377,1456,1054,1143,860,1108,1035,862,1063,1030,837,763,817,877,1051,577,558,829,986,1043,666,776,664,778,536,772,741,790,490,565,1321,1055,576,1968,645,1413,726,1649,1168,1140,590,1085,1124,788,747,710,1021,806,714,734,786,761,936,708,965,986,840,1175,1083,896,862,1041,1119,1463,1013,1216,729,1232,787,970,825,775,2224,918,1223,1061,1614,992,1518,971,1342,1748,1076,4729,2129,981,3089,1714,7756,2528,8719,3372,5395,7952,6632,9928,7400,4966,3523,3633,4556,2221,2699,2043,3194,2699
