"name","group","element","units","context","S260913","S260914","S260915","S260916","S260917","S260918","S260919","S260920","S260921","S260922","S260923","S260924","S260925","S260926","S260927","S260928","S260929","S260930","S260931","S260932","S260933","S260934","S260935","S260936","S260937","S260938","S260939","S260940","S260941","S260942","S260943","S260944","S260945","S260946","S260947","S260948","S260949","S260950","S260951","S260952","S260953","S260954","S260955","S260956","S260957","S260958","S260959","S260960","S260961","S260962","S260963","S260964","S260965","S260966","S260967","S260968","S260969","S260970","S260971","S260972","S260973","S260974","S260975","S260976","S260977","S260978","S260979","S260980","S260981","S260982","S260983","S260984","S260985","S260986","S260987","S260988","S260989","S260990","S260991","S260992","S260993","S260994","S260995","S260996","S260997","S260998","S260999","S261000","S261001","S261002","S261003","S261004","S261005","S261006","S261007","S261008","S261009","S261010","S261011","S261012","S261013","S261014","S261015"
Bryophyta (type 340, HdV),UPBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
Butomus,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Buxus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byssothecium circinans,FUNG,spore,NISP,,,3,17,15,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,2,1,,1,,,6,1,3,24,2,1,2,,,,,1,,1,1,,1,2,3,,,,1,1,,,1,,,1,2,,,1,3,1,12,3,1,4,5,2,,,5,,,,
Callitriche,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,
Calluna,TRSH,pollen,NISP,,150,167,127,72,175,104,44,105,55,8,2,20,2,2,7,10,,,1,1,2,1,1,,1,1,1,1,1,1,2,1,,,2,,,1,,5,1,,,6,,,,,,7,,,,,,,1,,,,,,1,,1,2,,1,2,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Campanulaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,
Cannabis-type,UPHE,pollen,NISP,,1,1,11,2,3,2,1,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canthocamptus,COPE,spermatophore,NISP,,,,2,1,1,2,2,,3,1,6,1,1,,,9,,3,,5,9,1,6,7,5,,,4,4,,4,,7,7,2,2,,,,1,5,,1,1,,,,1,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,1,10,,,,,,,,,1,,,2,,,,,,,,,2,,,,
Carduus-type,UPHE,pollen,NISP,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,2,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,
Carpinus,TRSH,pollen,NISP,,9,24,11,9,15,7,4,33,1,2,1,2,2,1,4,1,2,1,2,,,1,1,,,1,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,1,1,20,,,1,,1,3
