"name","group","element","units","context","S408279","S408280","S408281","S408282","S408283","S408284","S408285","S408286","S408287","S408288","S408289","S408290","S408291","S408292","S408293","S408294","S408295","S408296","S408297","S408298","S408299","S408300","S408301","S408302","S408303","S408304","S408305","S408306","S408307","S408308","S408309","S408310","S408311"
Scrophulariaceae,UPHE,pollen,NISP,,1,,,,,,1,2,2,,,,,1,,,,,1,,,1,,1,,,,,,,1,,2
Sphagnum,AQBR,spore,NISP,,29,14,16,8,21,41,13,14,47,38,138,213,82,90,8,6,3,17,290,8,8,14,7,8,27,4,,1,4,7,2,4,11
Taxus,TRSH,pollen,NISP,,,,,,1,,1,,,,,1,1,,1,1,,,,,,,,,,1,6,1,3,,4,1,1
Thalictrum,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Tilia,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,1,,1,2,,1,,,,1,,1
Typha angustifolia/Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,1,,1,1,2,3,1,1,3,3,3,3,,1,2,4,5,,4,2,4,3,2,5,,8,11,6,1,3,6,4,4
Unknown (monolete),UNID,spore,NISP,,,,,,1,2,2,1,3,1,2,,2,,,,2,,1,,2,3,1,2,1,2,3,,1,,1,,
Urticalean Rosids,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Vitis,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
