name,group,element,units,context,S275000,S275001,S275002,S275003,S275004,S275005,S275006,S275007,S275008,S275009,S275010,S275011,S275012,S275013,S275014,S275015,S275016,S275017,S275018,S275019,S275020,S275021,S275022,S275023,S275024,S275025,S275026,S275027,S275028,S275029,S275030,S275031,S275032,S275033,S275034,S275035,S275036,S275037,S275038,S275039,S275040,S275041,S275042,S275043,S275044,S275045,S275046,S275047,S275048,S275049,S275050,S275051,S275052,S275053,S275054,S275055,S275056,S275057,S275058,S275059,S275060,S275061,S275062,S275063,S275064,S275065,S275066,S275067,S275068,S275069,S275070,S275071,S275072,S275073,S275074,S275075,S275076,S275077,S275078,S275079,S275080,S275081,S275082,S275083,S275084,S275085,S275086,S275087,S275088,S275089,S275090,S275091,S275092,S275093,S275094,S275095,S275096,S275097,S275098,S275099,S275100,S275101,S275102,S275103,S275104,S275105,S275106,S275107,S275108,S275109,S275110,S275111,S275112,S275113,S275114,S275115,S275116,S275117,S275118,S275119,S275120,S275121,S275122,S275123,S275124,S275125,S275126,S275127,S275128,S275129,S275130,S275131,S275132,S275133,S275134,S275135,S275136,S275137,S275138,S275139,S275140,S275141
Anemone nemorosa-type,UPHE,pollen,NISP,,,,5,1,1,2,,1,,,,,,,,,,,1,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Anthriscus sylvestris-type,UPHE,pollen,NISP,,,,1,,,,1,1,,,1,,,1,1,1,1,3,,,,1,1,,,,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,1,,4,6,,,2,,,,,,3,,,,,,,1,,,,,1,,1,2,2,2,,5,,1,5,2,1,,,,,
Anthyllis,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,41,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,1,,,2,,,,1,1,,1,,,,,,1,1,,,,2,,3,,2,,,,,1,1,1
Apium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,,1,,,,,
Arenaria,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnica-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,,,2,,,,,5,4,1,1,2,,2,2,,4,2,2,1,,,3,1,2,1,6,5,2,7,1,3,4,3,4,2,2,1,2,2,1,,2,3,4,2,1,5,2,3,4,5,1,1,1,3,1,,3,1,1,1,4,3,1,6,3,1,3,,4,,,,1,,1,2,1,2,1,1,1,2,2,1,,1,,1,,2,4,,2,2,1,3,,,2,1,1,1,,,,1,,,,,,1,,2,,1,5,9,3,11,21,36,56,25,34,60,52,71,85,97,47,67,19,48,44,88,55,126,111
Asplenium-type,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Aster-type,UPHE,pollen,NISP,,1,,,,,1,,,,1,,,2,,1,,,,4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,1,,1,,,3,,,,,,,1,,1,,1,,,,,,,,,1,,,,1,,1,1,1,1,1,2,1,1,,,,1,,,
Astrantia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,1,,,1,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartsia-type,UPHE,pollen,NISP,,,,,1,,,,,,1,,,,2,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Bellis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,26,16,15,18,39,20,22,30,20,35,19,26,17,9,8,10,19,17,6,11,9,6,19,12,22,12,16,10,8,12,22,15,8,4,13,9,9,17,14,7,24,20,18,12,21,23,13,16,20,15,37,17,15,16,8,8,17,49,9,52,9,11,10,19,21,25,16,23,31,19,25,20,9,14,31,10,12,8,8,33,7,22,30,19,20,14,26,22,15,11,21,21,24,25,66,22,33,52,61,28,24,23,29,46,79,75,14,14,9,3,5,,2,3,7,8,3,4,6,65,116,28,77,64,121,42,55,76,144,56,156,128,134,103,97,20,47,20,4,2,8,3
Bistorta officinalis,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistorta vivipara,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,,
Botrychium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,
Brassicaceae,UPHE,pollen,NISP,,,2,1,1,1,,1,,,2,,,,1,2,1,,5,,3,1,,1,1,,,2,2,2,,1,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,1,1,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,2,2,3,2
