"name","group","element","units","context","S465603","S465606","S465608","S465611","S465615","S465619","S465622","S465631","S465634","S465645","S465655","S465664","S465673","S465683","S465692","S465701","S465710","S465602","S465605","S465609","S465612","S465614","S465617","S465621","S465632","S465635","S465644","S465654","S465663","S465675","S465684","S465690","S465699","S465708","S465623","S465636","S465646","S465657","S465666","S465677","S465687","S465697","S465709","S465624","S465637","S465647","S465656","S465667","S465676","S465686","S465696","S465706","S465625","S465639","S465650","S465659","S465669","S465679","S465694","S465704","S465626","S465640","S465649","S465660","S465670","S465680","S465695","S465705","S465627","S465641","S465652","S465662","S465672","S465682","S465691","S465698","S465707","S465628","S465642","S465653","S465665","S465674","S465685","S465693","S465703","S465629","S465643","S465651","S465661","S465671","S465681","S465688","S465700","S465601","S465604","S465607","S465610","S465613","S465616","S465618","S465620","S465630","S465633","S465638","S465648","S465658","S465668","S465678","S465689","S465702"
Geoglossum sphagnophilum (type 77A, HdV),FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Hedera helix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,2,,,,,,,
Helianthemum,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,2,3,,7,,,,,,,2,,,,,,,,,3,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
Humulus/Cannabis,UPHE,pollen,NISP,,34,3,1,1,1,,,,,,,,1,,,,1,24,5,3,2,,1,,,,,,,,,,,,32,,,1,,,,,,167,,,,,,,,,246,,,,,,,,20,,,,,,,,20,,,,,,,,,219,,,,1,,,,34,,,,,,,,23,19,2,,1,1,1,,,,,,,,,,
Hydrocotyle,AQVP,pollen,NISP,,1,1,,,2,3,,,,1,1,,,,,,,,,2,1,1,3,,1,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,3,,,1,1,,,1,,2,,,,
Hypericum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Isoëtes,AQVP,spore,NISP,,4,7,12,20,15,16,22,14,6,37,,,,,,,,2,3,29,16,21,13,40,11,6,18,,,2,,,,,3,6,,,,,,,,6,17,,,,,,,,2,19,,,,,,,4,29,,,,,,,,58,,,,,,,,2,23,,,,,,,4,10,,,,,,,1,3,11,8,25,21,20,37,18,4,19,,,,,,
Juniperus,TRSH,pollen,NISP,,2,1,,,,,2,,,1,3,,1,16,8,,2,2,1,,,1,,,,,1,,,,5,,1,3,1,,,,,1,7,,19,,,,1,,3,7,,60,,,,,,8,,5,1,,2,,,9,2,12,1,1,,,,13,3,1,108,1,1,,,,2,6,,1,1,1,1,,11,,2,,1,,,,,,3,,,,,,,4,2,1
Littorella,AQVP,pollen,NISP,,4,5,8,5,11,12,17,12,9,7,,,,,,,,2,6,13,6,11,8,18,17,4,4,,,1,,,,,5,5,7,,,,,,,13,8,,,,,,,,1,5,,,,,,,1,5,,,,,,,1,12,,,,,,,,10,17,,,,,,,6,1,,,,,,,1,2,7,5,3,16,13,25,23,14,10,,,,,,
Lotus,UPHE,pollen,NISP,,3,,1,,,1,,1,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,
