"name","group","element","units","context","S258829","S258830","S258831","S258832","S258833","S258834","S258835","S258836","S258837","S258838","S258839","S258840","S258841","S258842","S258843","S258844","S258845","S258846","S258847","S258848","S258849","S258850","S258851","S258852","S258853","S258854","S258855","S258856","S258857","S258858","S258859","S258860","S258861","S258862","S258863","S258864","S258865","S258866","S258867","S258868","S258869","S258870","S258871","S258872","S258873","S258874","S258875","S258876","S258877","S258878","S258879","S258880","S258881","S258882","S258883","S258884","S258885","S258886","S258887","S258888","S258889","S258890","S258891","S258892","S258893","S258894","S258895","S258896","S258897","S258898","S258899","S258900","S258901","S258902","S258903","S258904","S258905","S258906","S258907","S258908","S258909","S258910","S258911","S258912","S258913","S258914","S258915","S258916","S258917","S258918","S258919","S258920","S258921","S258922","S258923","S258924","S258925","S258926","S258927","S258928","S258929","S258930","S258931","S258932","S258933","S258934","S258935","S258936","S258937","S258938","S258939","S258940","S258941","S258942","S258943","S258944","S258945","S258946","S258947","S258948","S258949","S258950","S258951","S258952","S258953","S258954","S258955","S258956","S258957","S258958","S258959","S258960","S258961","S258962","S258963","S258964","S258965","S258966","S258967","S258968","S258969","S258970","S258971","S258972","S258973","S258974","S258975","S258976","S258977","S258978","S258979","S258980","S258981","S258982","S258983","S258984","S258985","S258986","S258987"
Corylus,TRSH,pollen,NISP,,10,6,9,6,5,21,7,8,4,12,7,8,7,8,12,22,35,10,9,17,6,36,9,13,17,29,6,18,13,10,12,10,12,13,17,13,27,21,,14,7,18,23,40,14,5,5,14,19,12,27,18,11,25,39,18,29,39,25,61,22,71,28,42,40,66,68,42,37,52,23,37,36,26,30,23,13,23,7,20,16,54,68,77,104,81,91,113,103,118,114,93,93,107,129,120,119,164,149,187,166,165,125,212,172,198,222,163,300,153,290,280,177,64,88,15,1,,,,,,,,,,,2,,1,,,,,3,,,,,,,,2,,,,,,2,,,,,,,,1,,
Cyperaceae,UPHE,pollen,NISP,,71,96,74,25,2,4,4,,4,,1,4,4,1,1,1,2,1,3,5,,1,4,2,5,2,1,,1,5,,,1,2,1,3,1,3,3,3,3,1,4,1,,2,3,3,1,2,,2,,5,1,2,,2,1,2,8,3,7,3,19,8,10,46,87,49,35,65,74,78,52,76,54,81,121,94,224,68,19,7,4,10,4,1,,1,1,2,1,1,1,4,1,1,,,3,1,2,2,2,1,1,,,,3,2,2,9,3,1,8,6,7,6,16,7,4,11,11,11,12,10,9,10,8,10,8,12,8,11,10,11,21,24,21,25,12,23,21,11,11,13,14,14,14,17,12,28,14,10,7,9,6
Equisetum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,15,,5,17,24,3,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,2,1,1,2,,,1,,,,1,,,,1,,1,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,4,2,1,6,1,1,1,,,,,2,,2,4,,2,1,4,1,,3,6,1,3,1,1,3,3,3,5,4,8,3,1,3,2,5,3,1,3,7,7,13,2,,8,3,16,1,7,1,1,2,1,4,3,,2,1,,1,2,,1,2,1,1,1,3,2,1,3,2,2,2,1,1,1,3,,1,1,1,1,1,,3,1,1,2,2,1,1,3,1,,,1,1,,1,,2,,,1,,1,,,,1,,,,,,,1,,,,,,1,1,1,,1,,,,,,,1,,,,1,2,1,,,1,1,,1,3,,,,1,,,1,1,
Fagopyrum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,15,16,7,9,22,110,198,89,120,103,157,106,125,61,60,114,98,74,90,109,69,155,56,94,115,103,113,91,95,91,128,152,134,103,156,154,190,134,101,113,118,141,131,137,120,190,133,153,148,105,120,82,66,48,33,43,37,39,12,29,9,3,23,6,,,1,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,4,6,,,,1,3,2,,1,,,2,4,1,1,2,2,3,,1,3,1,3,1,8,5,,1,,4,3,3,2,3,1,2,4,3,,8,2,6,2,,1,2,2,4,4,13,15,6,5,9,7,6,9,6,8,17,22,12,7,17,20,29,20,14,24,3,13,9,8,10,8,1,17,6,9,12,18,33,28,21,24,25,29,12,11,7,6,,,,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus-type,UPHE,pollen,NISP,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,
Pinus,TRSH,pollen,NISP,,40,43,24,4,1,2,3,4,1,3,2,,2,3,3,3,4,2,1,1,,2,2,4,5,5,2,3,6,4,5,9,,4,9,7,4,4,7,7,3,5,2,7,,3,5,1,4,2,3,10,3,1,,1,1,4,2,3,5,1,5,10,8,8,11,7,7,2,4,4,3,2,1,3,6,1,7,2,5,9,7,4,10,5,7,11,12,10,5,6,13,10,8,8,12,3,2,7,4,8,8,5,8,4,3,7,5,5,5,8,11,10,24,,29,38,90,70,94,88,88,114,39,82,134,112,159,97,148,87,96,75,125,118,94,73,20,23,27,14,16,11,9,22,13,6,8,21,15,8,10,16,28,126,37,62,117
