name,group,element,units,context,S414515,S414516,S414517,S414518,S414519,S414520,S414521,S414522,S414523,S414524,S414525,S414526,S414527,S414528,S414529,S414530,S414531,S414532,S414533,S414534,S414535,S414536,S414537,S414538,S414539,S414540,S414541,S414542,S414543,S414544,S414545,S414546,S414547,S414548,S414549,S414550,S414551,S414552,S414553,S414554,S414555,S414556,S414557,S414558,S414559,S414560,S414561,S414562,S414563,S414564,S414565,S414566,S414567,S414568,S414569,S414570,S414571,S414572,S414573,S414574,S414575,S414576,S414577,S414578,S414579,S414580,S414581,S414582,S414583,S414584,S414585,S414586,S414587,S414588,S414589,S414590,S414591,S414592,S414593,S414594
Spermatophyta undiff. (trees),TRSH,pollen,NISP,,,,1,,,1,,,,1,,,,,1,1,,,1,2,,1,1,2,1,1,3,,,,,,,,1,,1,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,14,20,7,2,2,,1,1,9,2,,,,1,,,3,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,2,,,1,,,,,,5,5,4,2,1,1,,
Spike,LABO,concentration,grains/tablet,,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100
Spike,LABO,counted,NISP,,298,133,110,80,104,36,54,33,67,68,78,113,134,95,129,92,76,63,145,134,122,50,109,74,89,86,75,51,50,68,49,57,42,55,44,41,31,16,24,45,25,32,35,52,39,31,47,37,13,96,115,156,287,118,142,241,183,190,193,357,593,585,286,316,118,195,125,286,263,242,122,75,225,103,134,189,289,298,253,184
Spike tablets,LABO,quantity added,number,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tilia,TRSH,pollen,NISP,,7,9,10,11,11,4,32,27,23,21,36,27,57,50,37,37,29,43,60,32,40,23,49,27,34,21,23,21,11,19,19,15,11,18,20,9,6,4,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Trapa natans,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,1,1,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,1,,10,3,3,9,,2,,1,,,,,1,,,1,,2,,,,,,,,1,,,,,,1
Ulmus,TRSH,pollen,NISP,,3,9,14,11,11,21,21,33,30,42,41,55,72,81,77,99,62,88,93,108,122,68,86,103,107,85,79,71,73,64,104,71,45,24,45,30,18,20,2,3,3,3,4,2,2,,3,1,,,,,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,
Unknown,UNID,spore,NISP,,34,42,27,25,29,8,17,6,20,12,11,11,13,9,12,14,11,10,21,22,18,10,18,8,7,17,25,11,29,20,12,18,37,43,21,26,30,29,18,16,53,131,118,143,151,126,138,112,53,53,14,2,2,1,1,1,3,3,6,2,4,10,8,9,22,4,9,10,11,9,2,,12,6,10,9,9,7,5,2
Varia,UNID,pollen/spore,NISP,,31,37,42,28,35,20,16,9,11,13,18,21,8,18,10,4,15,12,10,13,9,5,17,10,8,7,8,8,11,11,13,7,10,8,9,8,9,12,7,11,8,12,12,10,15,7,7,12,37,25,22,7,18,23,31,38,68,36,46,52,55,37,61,62,41,37,37,64,87,43,106,53,98,88,133,142,137,159,142,92
