"name","group","element","units","context","S620864","S620874","S620889","S620898","S620911","S620927","S620944","S620956","S620968","S620867","S620868","S620876","S620877","S620886","S620887","S620896","S620900","S620905","S620916","S620918","S620928","S620929","S620940","S620942","S620947","S620954","S620957","S620965","S620967","S620976","S620865","S620881","S620890","S620897","S620908","S620917","S620923","S620932","S620936","S620948","S620959","S620966","S620975","S620870","S620869","S620878","S620879","S620885","S620888","S620895","S620902","S620907","S620910","S620919","S620922","S620924","S620933","S620934","S620941","S620943","S620951","S620955","S620961","S620964","S620971","S620974","S620872","S620882","S620894","S620904","S620912","S620926","S620939","S620950","S620962","S620972","S620866","S620875","S620884","S620893","S620903","S620906","S620914","S620920","S620930","S620938","S620945","S620953","S620960","S620970","S620871","S620880","S620891","S620901","S620913","S620925","S620937","S620949","S620958","S620969","S620863","S620873","S620883","S620892","S620899","S620909","S620915","S620921","S620931","S620935","S620946","S620952","S620963","S620973"
Artemisia,UPHE,pollen,NISP,,6,15,8,13,5,5,2,7,2,6,4,12,9,4,5,15,10,8,3,4,8,2,3,4,3,2,3,2,1,,13,10,19,10,1,5,10,2,5,5,5,,,2,4,10,8,8,9,8,7,5,16,5,10,2,3,6,8,1,6,2,5,7,2,1,4,7,8,10,4,8,6,3,2,,2,6,4,11,16,11,9,2,7,,2,2,4,,9,5,7,22,4,3,3,3,5,,11,6,4,7,8,12,5,3,7,5,2,3,5,2
Asparagus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Asphodelus albus-type,UPHE,pollen,NISP,,,,,,,1,1,,,,1,,,1,,,2,,,2,,2,2,,,,,,,,4,,1,,2,2,,,3,,,1,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,1,1,1,,,,1,,,,,,,2,,,,,,,,,,1,,,1,,,,,,,1,,1,4,,2,,1,,,1,1,,
Asplenium-type,VACR,spore,NISP,,,,,,,,,2,,,,,,,,,,,,,,1,,,1,,,,2,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Aster-type,UPHE,pollen,NISP,,1,1,8,4,5,1,5,5,6,5,3,14,3,2,9,9,10,8,2,,3,6,5,3,15,6,4,,,2,8,4,9,3,3,4,4,3,10,8,6,2,16,5,,1,8,4,5,11,4,5,5,4,1,2,5,3,2,1,16,13,2,,3,10,3,3,11,2,,8,5,31,4,8,2,2,8,7,8,6,1,1,2,1,14,9,4,5,5,6,12,6,4,1,1,17,7,1,5,4,7,9,4,,1,,,4,6,13,5,8
Astragalus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,2,3,,1,3,1,2,,2,8,1,1,1,,,1,1,7,1,,2,1,1,3,1,2,,1,1,,5,,3,7,1,1,1,5,5,,,2,1,5,2,,1,,,2,4,5,5,3,,2,,1,,3,5,1,,5,,,1,,1,5,,3,5,1,2,,2,,2,4,4,9,,1,2,3,1,1,,1,6,1,,2,3,3,1,1,3,1,4,,,1,3,7,1,1,2,3,,1,,
Borago,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botryococcus,ALGA,colony,NISP,,14,52,100,100,162,663,21,37,100,27,27,33,38,97,532,177,796,2521,197,120,2,100,113,95,350,335,538,75,40,,23,139,582,316,1191,420,266,489,123,85,603,108,,41,39,34,236,50,100,336,1891,100,301,757,108,113,307,125,23,58,430,318,110,935,31,1,12,42,100,730,205,54,24,232,232,7,16,38,46,244,773.31,708,63,242,114,5,438,353,127,12,25,105,69,478.5,40,88,347,264,980,48,13,35,126,110,257,3774,64,100,83,28,19,445,105,11
Brassicaceae,UPHE,pollen,NISP,,2,5,17,7,7,2,,6,1,16,13,7,12,25,6,10,4,2,2,2,2,12,4,,1,,1,2,,7,6,6,3,11,3,1,2,3,5,6,1,,,6,7,9,5,16,16,5,4,9,7,3,1,4,,10,2,6,2,4,2,1,3,3,10,28,11,8,5,3,2,2,2,,15,7,15,6,2,8,5,4,8,6,1,1,3,3,2,6,11,12,9,6,1,4,1,3,11,4,7,4,4,5,7,3,7,6,3,2,3,1
Buxus,TRSH,pollen,NISP,,,,2,,,,,,,1,1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,1,1,,1,,1,,,1,,,2,,,,,1,,,,,,2,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,1,1,,1,,,,,,,,6,,,,,,,,,
Callitriche,AQVP,pollen,NISP,,,,,5,,,,8,,1,1,,,,2,,,,,,3,24,,,,,,,1,,,,,,,,,,,1,,,,,,1,,3,,1,,2,1,,,,,6,5,,,,,,,,,,,,,,1,,,,,,1,,6,,,,2,,,,,,,,,,,,,,,,,,1,4,,,6,8,,,,,,
Campanula-type,UPHE,pollen,NISP,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
Carduus-type,UPHE,pollen,NISP,,,1,,,1,,,,,1,2,,,,,,,,,,,,1,1,,,,,,,2,3,1,,1,,,,1,1,,,,1,,,1,,1,1,1,,1,,,1,1,,,,,1,,,,,1,,1,,,,2,1,,,1,2,,2,,1,1,,1,2,1,,1,,,3,1,,,2,1,,,,3,2,,1,1,1,,1,2,,3,1,,
Carlina,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,,,,1,,
