"name","group","element","units","context","S387814","S387815","S387816","S387817","S387818","S387819","S387820","S387821","S387822","S387823","S387824","S387825","S387826","S387827","S387828","S387829","S387830","S387831","S387832","S387833","S387834","S387835","S387836","S387837","S387838","S387839","S387840","S387841","S387842","S387843","S387844","S387845","S387846","S387847","S387848","S387849","S387850","S387851","S387852","S387853","S387854","S387855","S387856","S387857","S387858","S387859","S387860","S387861","S387862","S387863","S387864","S387865","S387866","S387867","S387868","S387869","S387870","S387871","S387872","S387873","S387874","S387875","S387876","S387877","S387878","S387879","S387880","S387881","S387882","S387883","S387884","S387885","S387886","S387887","S387888","S387889","S387890","S387891","S387892","S387893","S387894","S387895","S387896","S387897"
Poaceae,UPHE,pollen,NISP,,9,13,2,9,44,35,91,36,28,17,7,45,26,30,53,20,15,29,29,48,23,15,14,12,13,12,14,14,29,23,64,3,1,22,10,8,22,12,23,22,34,20,18,15,27,26,27,21,26,17,35,15,19,16,25,11,14,11,38,6,21,6,21,83,81,50,98,98,54,98,38,83,72,27,59,33,28,61,50,73,33,26,31,45
Potentilla,UPHE,pollen,NISP,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,,,,,,1,1,2,,1,,,4,2,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,
Primulaceae,UPHE,pollen,NISP,,,1,,,7,3,2,,2,1,,,,,4,1,,,3,3,,,1,,,1,5,,2,1,1,,,1,,,3,,,,2,6,4,,7,,5,10,9,6,7,7,,1,9,5,2,3,,5,,2,,,,,,,,,,,,,,,,,,,,,,
Quercus (deciduous),TRSH,pollen,NISP,,11,5,11,4,14,10,10,17,17,12,8,13,8,10,15,9,6,9,10,12,11,5,9,4,3,9,5,9,4,6,9,5,3,4,2,10,3,3,3,,1,,1,1,5,4,,2,,2,1,1,2,,1,,2,,,4,2,1,,2,1,3,1,1,,3,1,,,,,,,1,,,1,,,
Ranunculaceae,UPHE,pollen,NISP,,,1,2,1,2,2,3,,7,1,,,,1,4,5,8,2,2,3,1,,2,1,1,4,3,1,1,1,,1,,,2,1,3,,1,3,1,,3,2,4,,8,3,4,,4,2,,3,6,7,4,3,1,4,2,3,,,,,,,,,1,,2,,3,,,1,3,3,,,1,2
Rosaceae,UPHE,pollen,NISP,,,3,1,,5,2,2,,7,2,,,,,3,4,,1,3,10,6,5,7,1,6,7,6,1,1,5,3,1,,5,4,1,7,,111,7,4,12,9,3,5,,8,3,4,5,12,4,2,1,6,6,6,4,,2,1,1,,,,,,,,1,,1,,,,1,1,,,1,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,,,2,1,,1,,,,,,,,,1,,3,,,,2,,2,,,,,,,,,,,,,1,,2,,,,,,1,,,,1,1,1,1,,1,1,,,1,1,2,1,3,1,,3,3,,4,1,,,,2,1,1,1,1,5,,1,1,
Rumex,UPHE,pollen,NISP,,1,,,2,2,8,1,8,5,,6,27,8,,14,11,34,28,39,25,59,6,9,13,12,19,17,3,2,1,9,5,1,13,11,5,21,22,11,19,34,27,34,23,26,43,36,26,44,29,37,22,23,20,21,11,14,5,26,13,27,8,20,7,,4,2,2,,1,,1,,,,,,,,1,,2,,
Salix,TRSH,pollen,NISP,,,,,,3,2,3,,,,,,,,2,1,,,3,2,2,1,1,,,3,,1,1,,,,,,,,1,3,5,1,5,4,5,4,14,6,2,1,2,1,4,2,1,5,6,2,4,1,33,2,,3,,,,,,,,3,,2,,,2,,,,2,,1,,,
Sample quantity,LABO,mass,number,,130,,170,236,,,,165,,,100,127,201,183,,,165,215,,,,,,,,,,,,,,270,175,,,222,,168,,,,,,,,135,,,,,,,400,,,,,,356,,,,260,428,400,425,430,430,452,355,538,550,420,302,,485,,,1,,,390,580,580
Sample quantity,LABO,volume,NISP,,,,30,20,,,,60,,,20,35,20,3,,,30,30,,,,,,,,,,,,,,40,21,,,15,,20,,,,,,,,20,,,,,,,20,,,,,,24,,50,,12,6,,7,3,3,,1,9,4,2,3,5,3,15,3,17,6,19,2,3,3
Saxifraga,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,1,1,,,,1,,,,,,,,,1,,,1,1,1,,,,,,1,,,1,3,,,1,,2,,1,,,,,2,2,1,1,,,,,,3,,,,1,,,1,2
Scleranthus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Scrophulariaceae,UPHE,pollen,NISP,,,,,,,,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,2,,,,3,,,,,,,,,,1,,,,,,,,,,,,
Sorbus,TRSH,pollen,NISP,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,1,,,,5,,,6,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,1,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,
Thalictrum-type,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,2,,,1,,1,1,,1,1,,1,1,1,5,2,1,9,1,1,3,1,,,1,4,1,1,3,1,2,2,,2,,3,,2,1,,1,5,5,,8,,4,1,,3,,2,,,2,,3,1,
Tilia,TRSH,pollen,NISP,,1,,1,1,1,,1,1,1,,3,2,,1,1,3,1,2,,3,4,,,4,3,1,5,5,2,3,,1,,4,2,2,,,2,,1,,,,,,2,,2,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,2,,1,,,,
Transects across slide,LABO,counted,number,,10,,3,4,,,,8,,,8,16,6,10,,,8,8,,,,,,,,,,,,,,10,1,,,4,,4,,,,,,,,6,,,,,,,4,,,,,,7,,5,,3,4,1,4,1,1,1,1,1,2,1,2,2,2,1,4,1,1,1,1,4,1
Typha/Sparganium,AQVP,pollen,NISP,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
