"name","group","element","units","context","S413759","S413760","S413761","S413762","S413763","S413764","S413765","S413766","S413767","S413768","S413769","S413770","S413771","S413772","S413773","S413774","S413775","S413776","S413777","S413778","S413779","S413780","S413781","S413782","S413783","S413784","S413785","S413786","S413787","S413788","S413789","S413790","S413791","S413792","S413793","S413794","S413795","S413796","S413797","S413798","S413799","S413800","S413801","S413802","S413803"
Poaceae,UPHE,pollen,NISP,,52,73,80,88,70,173,181,213,144,132,141,126,151,153,128,122,129,129,160,134,128,154,125,82,181,201,131,99,80,71,104,110,40,76,79,49,26,18,51,26,70,86,70,44,32
Poaceae (Cerealia),UPHE,pollen,NISP,,14,29,42,14,15,6,3,2,,2,3,4,1,6,5,5,6,,5,2,2,2,,,,2,4,,,,,2,,1,,,,,,,1,1,,1,1
Polemonium,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Polygonaceae,UPHE,pollen,NISP,,,,,1,,2,1,,,1,1,1,5,1,,,1,2,,3,,,,,,,,,,1,,,,,,,1,,,,,,,1,5
Polygonum aviculare,UPHE,pollen,NISP,,,5,1,3,5,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Polypodiaceae,VACR,spore,NISP,,8,2,9,9,,9,4,16,82,71,17,30,52,59,16,29,4,16,12,35,62,48,49,7,9,39,21,104,113,68,32,15,39,10,19,21,61,161,29,54,265,104,100,44,23
Pteridium aquilinum,VACR,spore,NISP,,,,,,,1,,,,2,2,,,,,,,1,2,1,1,,,,,,1,7,,1,,,,,,,,,,1,5,1,1,,
Quercus,TRSH,pollen,NISP,,9,7,14,7,11,7,7,4,11,4,5,3,7,7,11,14,12,14,7,19,18,13,10,1,3,11,17,16,24,16,25,40,32,51,44,37,17,23,20,17,14,16,3,4,3
Ranunculaceae,UPHE,pollen,NISP,,,4,7,3,3,3,2,,5,4,1,,2,1,3,1,5,3,,2,2,2,,,,4,2,7,,2,5,2,1,2,1,1,,,1,,2,3,,,
Riccia,AQBR,spore,NISP,,2,,2,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Rosaceae,UPHE,pollen,NISP,,29,30,27,52,62,35,44,23,22,30,31,20,22,24,28,47,34,27,27,27,22,22,22,17,18,22,27,24,112,9,22,30,21,34,53,51,43,15,36,15,14,18,21,10,17
Rumex,UPHE,pollen,NISP,,,2,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,9,7,4,6,4,6,1,8,2,4,2,,,2,7,3,6,2,1,5,1,3,,2,,1,6,2,4,,5,7,5,9,8,9,3,3,5,1,,10,15,1,1
Sample quantity,LABO,volume,cm^3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4
