"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies","Juglans","Fagus","Castanea","CalYrBP.2"
"102","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8834.12",367,533,0,0,0,0,"8834.12"
"103","ALTEN","Altenweiher","France","Tb",6.99,48.01,"8946.04",542,895,0,0,0,0,"8946.04"
"104","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9017.17",583,877.25,0,0,0,0,"9017.17"
"105","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9180.51",658,1029.5,0,0,0,0,"9180.51"
"106","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9294.85",786,1166.25,0,0,0,0,"9294.85"
"107","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9343.86",409,614.75,0,0,0,0,"9343.86"
"108","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9458.2",447,666,0,0,0,0,"9458.2"
"109","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9572.54",583,859.25,0,0,0,0,"9572.54"
"110","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9670.54",705,999.75,0,0,0,0,"9670.54"
"111","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9801.22",851,1199.5,0,0,0,0,"9801.22"
"112","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9899.23",692,988.75,0,0,0,0,"9899.23"
"113","ALTEN","Altenweiher","France","Tb",6.99,48.01,"9997.23",601,854,0,0,0,0,"9997.23"
"114","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1156/1036/919",373,712.25,0,0,57,2,"1036"
"115","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1450/1304/1167",393,740,0,0,66,1,"1304"
"116","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1748/1572/1412",428,785.25,0,0,77,0,"1572"
"117","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1866/1679/1509",436,805.5,0,0,74,0,"1679"
"118","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"1986/1786/1606",462,862.5,0,0,136,0,"1786"
"119","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2046/1840/1655",422,791,0,0,163,1,"1840"
"120","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2250/2089/1943",396,715,0,0,139,0,"2089"
"121","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2453/2336/2220",435,807,0,0,163,0,"2336"
"122","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2689/2582/2491",417,767.75,0,0,157,0,"2582"
"123","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"2951/2829/2735",425,776,0,0,102,0,"2829"
"124","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"321/231/140",352,695.25,0,0,25,5,"231"
"125","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"3232/3076/2941",383,682.75,0,0,79,0,"3076"
"126","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"3531/3323/3143",421,725.5,0,0,49,0,"3323"
"127","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"3829/3569/3340",407,705.5,0,0,34,0,"3569"
"128","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"4129/3816/3534",381,634.75,1,0,17,0,"3816"
"129","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"4433/4063/3729",359,608,0,0,13,0,"4063"
"130","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"4737/4310/3923",390,651.75,0,0,4,0,"4310"
"131","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"5044/4556/4117",326,531.25,0,0,3,0,"4556"
"132","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"5351/4803/4311",379,625.75,0,0,2,0,"4803"
"133","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"5658/5050/4504",386,643.5,0,0,0,0,"5050"
"134","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"59/-37/-140",391,747.25,0,0,25,4,"-37"
"135","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"591/500/410",370,709.5,0,0,70,5,"500"
"136","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"5966/5297/4698",382,647.25,0,0,1,0,"5297"
"137","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"6273/5544/4891",415,682.25,0,0,0,0,"5544"
"138","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"6580/5790/5083",373,614.75,0,0,0,0,"5790"
"139","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"6887/6037/5275",381,635.5,0,0,0,0,"6037"
"140","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"7194/6284/5468",401,673.25,0,0,1,0,"6284"
"141","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"7502/6531/5660",382,647,0,0,1,0,"6531"
"142","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"7809/6777/5852",408,681.75,0,0,2,0,"6777"
"143","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"8116/7024/6044",405,663.75,0,0,1,0,"7024"
"144","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"8424/7271/6237",407,683.5,0,0,0,0,"7271"
"145","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"8547/7370/6314",437,717.25,0,0,4,0,"7370"
"146","ATXU","Atxuri","Spain","Td",-1.551111,43.250278,"869/768/667",369,703.25,0,1,71,7,"768"
"147","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-12/--",565,1163.25,0,0,0,0,"-12"
"148","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-29/--",535,1078.75,0,0,0,0,"-29"
"149","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-45/--",524,1016.75,0,0,0,0,"-45"
"150","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-62/--",527,998,0,0,0,0,"-62"
"151","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1045/--",553,1122,0,0,0,0,"1045"
"152","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1091/--",562,1129,0,0,0,0,"1091"
"153","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1114/--",555,1116.75,0,1,2,0,"1114"
"154","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1132/--",549,1106.25,0,1,1,0,"1132"
"155","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1150/--",640,1295.25,0,0,0,0,"1150"
"156","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1168/--",568,1145.75,0,0,1,0,"1168"
"157","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1172/--",541,1088,0,0,0,0,"1172"
"158","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/120/--",589,1241.5,0,2,0,0,"120"
"159","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1315/--",583,1170,1,0,0,0,"1315"
"160","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/137/--",537,1094.25,0,0,0,1,"137"
"161","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1457/--",547,1122.25,0,0,2,0,"1457"
"162","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/153/--",548,1121.5,0,0,1,0,"153"
"163","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1635/--",574,1166.5,1,0,3,0,"1635"
"164","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/170/--",550,1111.25,0,1,0,0,"170"
"165","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1991/--",572,1144.5,0,2,4,0,"1991"
"166","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/21/--",550,1071.25,0,0,0,0,"21"
"167","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/213/--",561,1131.75,0,0,0,0,"213"
"168","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2169/--",543,1080.25,0,0,3,0,"2169"
"169","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2347/--",569,1101.75,1,0,3,0,"2347"
"170","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2525/--",538,1074,0,0,1,0,"2525"
"171","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/259/--",566,1135,0,0,1,0,"259"
"172","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2704/--",710,1413.75,1,0,3,0,"2704"
"173","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2882/--",571,1129.25,0,0,3,0,"2882"
"174","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/306/--",593,1202.5,0,1,1,1,"306"
"175","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3060/--",565,1128.5,0,1,0,0,"3060"
"176","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3260/--",550,1120,0,0,0,0,"3260"
"177","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3431/--",877,1665.5,0,0,4,0,"3431"
"178","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3486/--",557,1113.5,0,0,3,0,"3486"
"179","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/352/--",558,1128.75,0,1,0,0,"352"
"180","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3540/--",597,1186.25,0,1,4,0,"3540"
"181","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3594/--",579,1153.25,1,0,5,0,"3594"
"182","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3616/--",595,1188.25,0,0,2,0,"3616"
"183","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3681/--",619,1229.25,0,0,5,0,"3681"
"184","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/37/--",560,1073,0,0,0,0,"37"
"185","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3703/--",526,1040,0,1,0,0,"3703"
"186","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3746/--",743,1467,0,0,2,0,"3746"
"187","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3789/--",762,1507.5,0,0,3,0,"3789"
"188","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3811/--",530,1058.75,1,0,1,0,"3811"
"189","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/398/--",573,1159.25,0,0,1,0,"398"
"190","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4/--",546,1091,2,0,0,1,"4"
"191","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4078/--",542,1087.75,0,0,4,0,"4078"
"192","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4166/--",536,1062.75,0,0,0,0,"4166"
"193","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4270/--",617,1227,0,0,3,0,"4270"
"194","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4341/--",671,1338.25,0,0,4,0,"4341"
"195","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4412/--",556,1105,0,0,4,0,"4412"
"196","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4695/--",557,1117,0,0,1,0,"4695"
"197","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4837/--",566,1134.25,0,0,0,0,"4837"
"198","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/490/--",578,1188.75,0,0,1,0,"490"
"199","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4978/--",547,1082.75,0,0,4,0,"4978"
"200","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5049/--",605,1201.25,0,0,2,0,"5049"
"201","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5120/--",586,1160.25,0,0,9,0,"5120"
"202","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5191/--",586,1155.5,0,0,5,0,"5191"
"203","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/537/--",556,1138.75,0,0,0,0,"537"
"204","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/54/--",538,1099.5,0,0,0,0,"54"
"205","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5403/--",550,1076.5,1,0,1,0,"5403"
"206","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5480/--",629,1252.25,3,0,2,0,"5480"
"207","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5562/--",544,1132.25,0,0,0,0,"5562"
"208","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5758/--",653,1319.25,0,0,1,0,"5758"
"209","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/583/--",551,1117,0,0,0,0,"583"
"210","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5889/--",522,1043,0,0,0,0,"5889"
"211","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5971/--",699,1383.25,1,0,0,1,"5971"
"212","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6053/--",630,1247.5,0,0,0,0,"6053"
"213","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6135/--",668,1340.5,0,0,0,0,"6135"
"214","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6216/--",511,1027,0,0,1,0,"6216"
"215","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/629/--",559,1154.5,0,0,1,0,"629"
"216","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6298/--",536,1085,0,0,1,0,"6298"
"217","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6380/--",549,1143.5,0,0,0,0,"6380"
"218","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6568/--",524,1054.5,0,0,0,0,"6568"
"219","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/675/--",530,1075.75,0,0,0,0,"675"
"220","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6814/--",572,1164.5,0,0,0,0,"6814"
"221","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/71/--",550,1096,0,0,0,1,"71"
"222","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7182/--",578,1177.5,0,0,0,0,"7182"
"223","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/721/--",566,1138.5,0,0,1,0,"721"
"224","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7343/--",606,1229.5,1,0,1,0,"7343"
"225","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7452/--",522,1105,0,0,0,0,"7452"
"226","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7466/--",665,1337,1,0,2,0,"7466"
"227","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7480/--",680,1350.75,0,0,0,0,"7480"
"228","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7493/--",594,1181.25,0,0,0,0,"7493"
"229","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7507/--",641,1263.5,0,0,0,0,"7507"
"230","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7521/--",615,1220.25,0,0,1,0,"7521"
"231","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7534/--",549,1078.75,1,0,1,0,"7534"
"232","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7548/--",574,1143,0,0,0,0,"7548"
"233","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7562/--",524,1046,1,0,0,0,"7562"
"234","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7575/--",497,981,0,0,3,0,"7575"
"235","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7589/--",545,1108.75,0,0,0,0,"7589"
"236","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7603/--",608,1200.5,0,0,1,0,"7603"
"237","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7616/--",642,1269.75,1,0,0,0,"7616"
"238","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7630/--",599,1176.25,1,0,0,0,"7630"
"239","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7644/--",517,1037.5,0,0,1,0,"7644"
"240","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7657/--",545,1082.25,0,0,0,0,"7657"
